username,repo_name,stars,repo_url
dotnet,aspnetcore,29000,https://github.com/dotnet/aspnetcore
SeleniumHQ,selenium,24100,https://github.com/SeleniumHQ/selenium
files-community,Files,23400,https://github.com/files-community/Files
dotnet,corefx,17900,https://github.com/dotnet/corefx
dotnet,core,17900,https://github.com/dotnet/core
dotnet,maui,16300,https://github.com/dotnet/maui
jellyfin,jellyfin,15600,https://github.com/jellyfin/jellyfin
icsharpcode,ILSpy,15500,https://github.com/icsharpcode/ILSpy
quozd,awesome-dotnet,15000,https://github.com/quozd/awesome-dotnet
microsoft,react-native-windows,14900,https://github.com/microsoft/react-native-windows
AvaloniaUI,Avalonia,14400,https://github.com/AvaloniaUI/Avalonia
pulumi,pulumi,13100,https://github.com/pulumi/pulumi
dotnet,coreclr,12700,https://github.com/dotnet/coreclr
Ryujinx,Ryujinx,12300,https://github.com/Ryujinx/Ryujinx
MoienTajik,AspNetCore-Developer-Roadmap,12000,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
OpenRA,OpenRA,11600,https://github.com/OpenRA/OpenRA
docker,labs,10800,https://github.com/docker/labs
App-vNext,Polly,10800,https://github.com/App-vNext/Polly
ardalis,CleanArchitecture,10700,https://github.com/ardalis/CleanArchitecture
aspnetboilerplate,aspnetboilerplate,10500,https://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10100,https://github.com/bitwarden/server
mono,mono,9900,https://github.com/mono/mono
jasontaylordev,CleanArchitecture,9100,https://github.com/jasontaylordev/CleanArchitecture
BeyondDimension,SteamTools,8900,https://github.com/BeyondDimension/SteamTools
IdentityServer,IdentityServer4,8800,https://github.com/IdentityServer/IdentityServer4
dotnet,orleans,8700,https://github.com/dotnet/orleans
MonoGame,MonoGame,8600,https://github.com/MonoGame/MonoGame
JustArchiNET,ArchiSteamFarm,8300,https://github.com/JustArchiNET/ArchiSteamFarm
dotnet,machinelearning,8000,https://github.com/dotnet/machinelearning
dotnet,BenchmarkDotNet,7900,https://github.com/dotnet/BenchmarkDotNet
