username,repo_name,stars,repo_url
public-apis,public-apis,202000,https://github.com/public-apis/public-apis
neovim,neovim,55800,https://github.com/neovim/neovim
tiangolo,fastapi,47400,https://github.com/tiangolo/fastapi
strapi,strapi,46400,https://github.com/strapi/strapi
hoppscotch,hoppscotch,45100,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34300,https://github.com/slatedocs/slate
meilisearch,meilisearch,28000,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,27500,https://github.com/hasura/graphql-engine
ccxt,ccxt,25200,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,24900,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24600,https://github.com/YMFE/yapi
encode,django-rest-framework,23800,https://github.com/encode/django-rest-framework
httpie,httpie,22600,https://github.com/httpie/httpie
littlecodersh,ItChat,22300,https://github.com/littlecodersh/ItChat
Kong,insomnia,21700,https://github.com/Kong/insomnia
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20300,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19800,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17400,https://github.com/shieldfy/API-Security-Checklist
directus,directus,16900,https://github.com/directus/directus
ChainSafe,web3.js,15600,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,14100,https://github.com/learn-anything/learn-anything
youfou,wxpy,13300,https://github.com/youfou/wxpy
jsdoc,jsdoc,13000,https://github.com/jsdoc/jsdoc
OpenAPITools,openapi-generator,12900,https://github.com/OpenAPITools/openapi-generator
BrainJS,brain.js,12900,https://github.com/BrainJS/brain.js
fangzesheng,free-api,12400,https://github.com/fangzesheng/free-api
go-chi,chi,11800,https://github.com/go-chi/chi
graphile,postgraphile,11400,https://github.com/graphile/postgraphile
