username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10700,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10500,https://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10100,https://github.com/bitwarden/server
abpframework,abp,8300,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7300,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6400,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5200,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,5200,https://github.com/thangchung/clean-code-dotnet
smartstore,SmartStoreNET,2500,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2300,https://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2200,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2100,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1900,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://github.com/MarimerLLC/csla
riganti,dotvvm,614,https://github.com/riganti/dotvvm
antonioCoco,SharPyShell,612,https://github.com/antonioCoco/SharPyShell
cornflourblue,aspnet-core-3-jwt-authentication-api,614,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,573,https://github.com/json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,461,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,448,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,431,https://github.com/YAFNET/YAFNET
Maarten88,rrod,378,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,381,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,376,https://github.com/Taritsyn/WebMarkupMin
smartstore,Smartstore,352,https://github.com/smartstore/Smartstore
chsakell,aspnet-core-identity,372,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,327,https://github.com/EEParker/aspnetcore-vueclimiddleware
