username,repo_name,stars,repo_url
ljianshu,Blog,7200,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7100,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5400,https://github.com/developit/unfetch
jquery-form,form,5100,https://github.com/jquery-form/form
olifolkerd,tabulator,4800,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4300,https://github.com/Studio-42/elFinder
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://github.com/elbywan/wretch
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2100,https://github.com/wendux/ajax-hook
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
yisainan,web-interview,2100,https://github.com/yisainan/web-interview
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
nette,tracy,1500,https://github.com/nette/tracy
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1400,https://github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1300,https://github.com/codingforentrepreneurs/eCommerce
k8w,tsrpc,1200,https://github.com/k8w/tsrpc
danielm,uploader,1100,https://github.com/danielm/uploader
swlib,saber,960,https://github.com/swlib/saber
opensource-socialnetwork,opensource-socialnetwork,876,https://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,862,https://github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,710,https://github.com/rapidjs/rapid.js
karosLi,KKJSBridge,592,https://github.com/karosLi/KKJSBridge
cferdinandi,atomic,539,https://github.com/cferdinandi/atomic
GoogTech,sms-ssm,525,https://github.com/GoogTech/sms-ssm
dashborg,hibiki,423,https://github.com/dashborg/hibiki
englercj,resource-loader,400,https://github.com/englercj/resource-loader
jsGanttImproved,jsgantt-improved,388,https://github.com/jsGanttImproved/jsgantt-improved
