username,repo_name,stars,repo_url
amphp,amp,3600,https://github.com/amphp/amp
danog,MadelineProto,2000,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,724,https://github.com/unreal4u/telegram-api
amphp,http-client,617,https://github.com/amphp/http-client
amphp,parallel,588,https://github.com/amphp/parallel
php-service-bus,service-bus,322,https://github.com/php-service-bus/service-bus
amphp,byte-stream,294,https://github.com/amphp/byte-stream
amphp,mysql,278,https://github.com/amphp/mysql
amphp,parallel-functions,226,https://github.com/amphp/parallel-functions
amphp,process,183,https://github.com/amphp/process
amphp,socket,167,https://github.com/amphp/socket
amphp,redis,129,https://github.com/amphp/redis
amphp,dns,122,https://github.com/amphp/dns
kelunik,acme,112,https://github.com/kelunik/acme
amphp,sync,112,https://github.com/amphp/sync
amphp,websocket-client,103,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,78,https://github.com/amphp/websocket-server
amphp,file,74,https://github.com/amphp/file
jolicode,asynit,73,https://github.com/jolicode/asynit
amphp,cache,78,https://github.com/amphp/cache
amphp,serialization,77,https://github.com/amphp/serialization
amphp,postgres,63,https://github.com/amphp/postgres
amphp,windows-registry,73,https://github.com/amphp/windows-registry
amphp,hpack,72,https://github.com/amphp/hpack
amphp,beanstalk,59,https://github.com/amphp/beanstalk
phpinnacle,ridge,47,https://github.com/phpinnacle/ridge
amphp,aerys,45,https://github.com/amphp/aerys
amphp,cluster,43,https://github.com/amphp/cluster
