username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,94400,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,67900,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,53400,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46200,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,43200,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42500,https://github.com/square/okhttp
Solido,awesome-flutter,41700,https://github.com/Solido/awesome-flutter
android,architecture-samples,41200,https://github.com/android/architecture-samples
square,retrofit,40200,https://github.com/square/retrofit
dcloudio,uni-app,36900,https://github.com/dcloudio/uni-app
fastlane,fastlane,35600,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35300,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33000,https://github.com/airbnb/lottie-android
bumptech,glide,32800,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32700,https://github.com/shadowsocks/shadowsocks-android
Blankj,AndroidUtilCode,31100,https://github.com/Blankj/AndroidUtilCode
Trinea,android-open-project,31000,https://github.com/Trinea/android-open-project
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
skylot,jadx,30900,https://github.com/skylot/jadx
laurent22,joplin,30800,https://github.com/laurent22/joplin
bilibili,ijkplayer,30600,https://github.com/bilibili/ijkplayer
zxing,zxing,29800,https://github.com/zxing/zxing
codepath,android_guides,27800,https://github.com/codepath/android_guides
square,leakcanary,27700,https://github.com/square/leakcanary
alibaba,fastjson,24800,https://github.com/alibaba/fastjson
appwrite,appwrite,23700,https://github.com/appwrite/appwrite
scwang90,SmartRefreshLayout,23700,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,23000,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22600,https://github.com/react-native-elements/react-native-elements
