username,repo_name,stars,repo_url
arendst,Tasmota,18000,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13500,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13000,https://github.com/arduino/Arduino
rwaldron,johnny-five,12700,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,11200,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10200,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9000,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7800,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7700,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6000,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5700,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5300,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3700,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3500,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3500,https://github.com/blynkkk/blynk-library
NectarJS,nectarjs,3300,https://github.com/NectarJS/nectarjs
olikraus,u8g2,3200,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,3100,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2800,https://github.com/Serial-Studio/Serial-Studio
1technophile,OpenMQTTGateway,2600,https://github.com/1technophile/OpenMQTTGateway
scottbez1,splitflap,2400,https://github.com/scottbez1/splitflap
scottlawsonbc,audio-reactive-led-strip,2300,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2200,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2200,https://github.com/crankyoldgit/IRremoteESP8266
Bodmer,TFT_eSPI,2000,https://github.com/Bodmer/TFT_eSPI
stm32duino,Arduino_Core_STM32,1900,https://github.com/stm32duino/Arduino_Core_STM32
nRF24,RF24,1900,https://github.com/nRF24/RF24
blinker-iot,blinker-library,1900,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1700,https://github.com/ThingPulse/esp8266-oled-ssd1306
