username,repo_name,stars,repo_url
sindresorhus,awesome,211000,https://github.com/sindresorhus/awesome
vinta,awesome-python,135000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,95800,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,84200,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,72900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,62800,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,57400,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,53400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,51300,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,48000,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,45600,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43200,https://github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,41700,https://github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,41700,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,41400,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,40000,https://github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,39600,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,38700,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,35900,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,34500,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,32800,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,31200,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,30900,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,31100,https://github.com/brillout/awesome-react-components
rust-unofficial,awesome-rust,27200,https://github.com/rust-unofficial/awesome-rust
ziadoz,awesome-php,26900,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25900,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,25400,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,24100,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,23000,https://github.com/sindresorhus/awesome-electron
