username,repo_name,stars,repo_url
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,13600,https://github.com/microsoft/recommenders
pulumi,pulumi,13100,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,12900,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,11900,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,10300,https://github.com/mozilla/sops
caprover,caprover,8800,https://github.com/caprover/caprover
microsoft,computervision-recipes,8600,https://github.com/microsoft/computervision-recipes
google,go-cloud,8500,https://github.com/google/go-cloud
infracost,infracost,7400,https://github.com/infracost/infracost
microsoft,azuredatastudio,6900,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6300,https://github.com/node-formidable/formidable
midwayjs,midway,5800,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5200,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,4800,https://github.com/aquasecurity/tfsec
budtmo,docker-android,4700,https://github.com/budtmo/docker-android
bridgecrewio,checkov,4400,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,4500,https://github.com/nccgroup/ScoutSuite
cloud-custodian,cloud-custodian,4200,https://github.com/cloud-custodian/cloud-custodian
Azure,autorest,3900,https://github.com/Azure/autorest
Azure,azure-sdk-for-net,3800,https://github.com/Azure/azure-sdk-for-net
simov,grant,3700,https://github.com/simov/grant
hashicorp,terraform-provider-azurerm,3500,https://github.com/hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3400,https://github.com/microsoft/SynapseML
Azure,MachineLearningNotebooks,3300,https://github.com/Azure/MachineLearningNotebooks
Azure,azure-powershell,3200,https://github.com/Azure/azure-powershell
Azure,azure-cli,3100,https://github.com/Azure/azure-cli
sottlmarek,DevSecOps,3200,https://github.com/sottlmarek/DevSecOps
Azure,azure-sdk-for-python,2900,https://github.com/Azure/azure-sdk-for-python
APIs-guru,openapi-directory,2800,https://github.com/APIs-guru/openapi-directory
