username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,108000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,59500,https://github.com/nvm-sh/nvm
junegunn,fzf,45700,https://github.com/junegunn/fzf
google,zx,33300,https://github.com/google/zx
dylanaraps,pure-bash-bible,31400,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29300,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,28000,https://github.com/mathiasbynens/dotfiles
starship,starship,27400,https://github.com/starship/starship
acmesh-official,acme.sh,27400,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24100,https://github.com/alebcay/awesome-shell
withfig,autocomplete,19300,https://github.com/withfig/autocomplete
jaywcjlove,linux-command,19300,https://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,15700,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15400,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14300,https://github.com/rbenv/rbenv
powerline,powerline,13400,https://github.com/powerline/powerline
shelljs,shelljs,13300,https://github.com/shelljs/shelljs
Bash-it,bash-it,13000,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12800,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12600,https://github.com/jessfraz/dockerfiles
denisidoro,navi,11400,https://github.com/denisidoro/navi
carlospolop,PEASS-ng,9500,https://github.com/carlospolop/PEASS-ng
codota,TabNine,9300,https://github.com/codota/TabNine
direnv,direnv,9300,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,9000,https://github.com/skywind3000/awesome-cheatsheets
rgcr,m-cli,9000,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8800,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8800,https://github.com/kanaka/mal
extrawurst,gitui,8400,https://github.com/extrawurst/gitui
