username,repo_name,stars,repo_url
microsoft,calculator,25200,https://github.com/microsoft/calculator
files-community,Files,23400,https://github.com/files-community/Files
ShareX,ShareX,20700,https://github.com/ShareX/ShareX
mxgmn,WaveFunctionCollapse,19400,https://github.com/mxgmn/WaveFunctionCollapse
dotnet,corefx,17900,https://github.com/dotnet/corefx
thangchung,awesome-dotnet-core,16500,https://github.com/thangchung/awesome-dotnet-core
dotnet,roslyn,16200,https://github.com/dotnet/roslyn
jellyfin,jellyfin,15600,https://github.com/jellyfin/jellyfin
quozd,awesome-dotnet,15000,https://github.com/quozd/awesome-dotnet
doocs,leetcode,14900,https://github.com/doocs/leetcode
AvaloniaUI,Avalonia,14400,https://github.com/AvaloniaUI/Avalonia
pulumi,pulumi,13100,https://github.com/pulumi/pulumi
antlr,antlr4,12600,https://github.com/antlr/antlr4
Ryujinx,Ryujinx,12300,https://github.com/Ryujinx/Ryujinx
OpenRA,OpenRA,11600,https://github.com/OpenRA/OpenRA
veler,DevToys,10500,https://github.com/veler/DevToys
aspnetboilerplate,aspnetboilerplate,10500,https://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10100,https://github.com/bitwarden/server
mono,mono,9900,https://github.com/mono/mono
carlospolop,PEASS-ng,9500,https://github.com/carlospolop/PEASS-ng
apache,thrift,9200,https://github.com/apache/thrift
dotnet,csharplang,9000,https://github.com/dotnet/csharplang
dotansimha,graphql-code-generator,9000,https://github.com/dotansimha/graphql-code-generator
BeyondDimension,SteamTools,8900,https://github.com/BeyondDimension/SteamTools
MonoGame,MonoGame,8600,https://github.com/MonoGame/MonoGame
abpframework,abp,8300,https://github.com/abpframework/abp
JustArchiNET,ArchiSteamFarm,8300,https://github.com/JustArchiNET/ArchiSteamFarm
quicktype,quicktype,8300,https://github.com/quicktype/quicktype
rocksdanister,lively,7900,https://github.com/rocksdanister/lively
dotnet,BenchmarkDotNet,7900,https://github.com/dotnet/BenchmarkDotNet
