username,repo_name,stars,repo_url
CyC2018,CS-Notes,154000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,72700,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,48700,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38700,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,38700,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,29600,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,25200,https://github.com/microsoft/calculator
huihut,interview,25000,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,20900,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20200,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18100,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,17600,https://github.com/ethereum/solidity
microsoft,vcpkg,16200,https://github.com/microsoft/vcpkg
catchorg,Catch2,15300,https://github.com/catchorg/Catch2
gabime,spdlog,15100,https://github.com/gabime/spdlog
doocs,leetcode,14900,https://github.com/doocs/leetcode
AnthonyCalandra,modern-cpp-features,14400,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14100,https://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,13900,https://github.com/Qv2ray/Qv2ray
facebook,infer,13400,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12800,https://github.com/CoatiSoftware/Sourcetrail
antlr,antlr4,12600,https://github.com/antlr/antlr4
google,tink,12500,https://github.com/google/tink
kyleneideck,BackgroundMusic,11700,https://github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,11200,https://github.com/compiler-explorer/compiler-explorer
SFTtech,openage,11100,https://github.com/SFTtech/openage
polybar,polybar,10900,https://github.com/polybar/polybar
OpenRCT2,OpenRCT2,10700,https://github.com/OpenRCT2/OpenRCT2
microsoft,IoT-For-Beginners,10600,https://github.com/microsoft/IoT-For-Beginners
