username,repo_name,stars,repo_url
Genymobile,scrcpy,67900,https://github.com/Genymobile/scrcpy
neovim,neovim,55800,https://github.com/neovim/neovim
git,git,42900,https://github.com/git/git
obsproject,obs-studio,39600,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,38700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,31200,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30600,https://github.com/FFmpeg/FFmpeg
vim,vim,28000,https://github.com/vim/vim
curl,curl,25800,https://github.com/curl/curl
huihut,interview,25000,https://github.com/huihut/interview
ggreer,the_silver_searcher,23900,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,19400,https://github.com/mpv-player/mpv
ruby,ruby,19300,https://github.com/ruby/ruby
pbatard,rufus,19200,https://github.com/pbatard/rufus
ossrs,srs,18700,https://github.com/ossrs/srs
google,flatbuffers,18200,https://github.com/google/flatbuffers
oracle,graal,17200,https://github.com/oracle/graal
radareorg,radare2,16600,https://github.com/radareorg/radare2
microsoft,vcpkg,16200,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,15300,https://github.com/kovidgoyal/kitty
shadowsocks,shadowsocks-libev,15000,https://github.com/shadowsocks/shadowsocks-libev
hashcat,hashcat,14900,https://github.com/hashcat/hashcat
allinurl,goaccess,14900,https://github.com/allinurl/goaccess
jarun,nnn,14500,https://github.com/jarun/nnn
TheAlgorithms,C,14000,https://github.com/TheAlgorithms/C
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13400,https://github.com/facebook/infer
qmk,qmk_firmware,12800,https://github.com/qmk/qmk_firmware
CoatiSoftware,Sourcetrail,12800,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,11600,https://github.com/s-matyukevich/raspberry-pi-os
