username,repo_name,stars,repo_url
twbs,bootstrap,159000,https://github.com/twbs/bootstrap
electron,electron,103000,https://github.com/electron/electron
animate-css,animate.css,75200,https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,69700,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,60700,https://github.com/thedaviddias/Front-End-Checklist
tailwindlabs,tailwindcss,58900,https://github.com/tailwindlabs/tailwindcss
microsoft,Web-Dev-For-Beginners,55300,https://github.com/microsoft/Web-Dev-For-Beginners
h5bp,html5-boilerplate,53100,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,48100,https://github.com/necolas/normalize.css
jgthms,bulma,45800,https://github.com/jgthms/bulma
prettier,prettier,43400,https://github.com/prettier/prettier
juliangarnier,anime,42700,https://github.com/juliangarnier/anime
parcel-bundler,parcel,41000,https://github.com/parcel-bundler/parcel
vercel,hyper,38900,https://github.com/vercel/hyper
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
styled-components,styled-components,37000,https://github.com/styled-components/styled-components
yangshun,front-end-interview-handbook,34600,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,32500,https://github.com/evanw/esbuild
postcss,postcss,26500,https://github.com/postcss/postcss
layui,layui,26300,https://github.com/layui/layui
tabler,tabler,26300,https://github.com/tabler/tabler
IanLunn,Hover,26200,https://github.com/IanLunn/Hover
Advanced-Frontend,Daily-Interview-Question,25900,https://github.com/Advanced-Frontend/Daily-Interview-Question
iview,iview,24000,https://github.com/iview/iview
pure-css,pure,22500,https://github.com/pure-css/pure
mdbootstrap,mdb-ui-kit,22500,https://github.com/mdbootstrap/mdb-ui-kit
AllThingsSmitty,css-protips,21900,https://github.com/AllThingsSmitty/css-protips
haizlin,fe-interview,21700,https://github.com/haizlin/fe-interview
qianguyihao,Web,21000,https://github.com/qianguyihao/Web
jlmakes,scrollreveal,20900,https://github.com/jlmakes/scrollreveal
