username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,27600,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19300,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,18300,https://github.com/refined-github/refined-github
darkreader,darkreader,14500,https://github.com/darkreader/darkreader
checkly,headless-recorder,14300,https://github.com/checkly/headless-recorder
unbug,codelf,13000,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,9600,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9400,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8800,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8600,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7800,https://github.com/appbaseio/dejavu
dailydotdev,daily,7700,https://github.com/dailydotdev/daily
alyssaxuu,screenity,7300,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6100,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5100,https://github.com/ajayyy/SponsorBlock
dessant,buster,4900,https://github.com/dessant/buster
AutomaApp,automa,5000,https://github.com/AutomaApp/automa
alyssaxuu,omni,5000,https://github.com/alyssaxuu/omni
manojVivek,medium-unlimited,4900,https://github.com/manojVivek/medium-unlimited
altair-graphql,altair,4300,https://github.com/altair-graphql/altair
webclipper,web-clipper,4300,https://github.com/webclipper/web-clipper
zxlie,FeHelper,4200,https://github.com/zxlie/FeHelper
openstyles,stylus,4000,https://github.com/openstyles/stylus
PlasmoHQ,plasmo,3900,https://github.com/PlasmoHQ/plasmo
bilibili-helper,bilibili-helper-o,3800,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
hcfyapp,crx-selection-translate,3700,https://github.com/hcfyapp/crx-selection-translate
honestbleeps,Reddit-Enhancement-Suite,3500,https://github.com/honestbleeps/Reddit-Enhancement-Suite
KartikTalwar,gmail.js,3500,https://github.com/KartikTalwar/gmail.js
vinta,pangu.js,3500,https://github.com/vinta/pangu.js
