username,repo_name,stars,repo_url
realm,SwiftLint,16300,https://github.com/realm/SwiftLint
facebook,infer,13400,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,10100,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,7200,https://github.com/checkstyle/checkstyle
Kristories,awesome-guidelines,7400,https://github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,7000,https://github.com/SonarSource/sonarqube
facebook,pyre-check,6000,https://github.com/facebook/pyre-check
reviewdog,reviewdog,5300,https://github.com/reviewdog/reviewdog
detekt,detekt,4700,https://github.com/detekt/detekt
simplecov-ruby,simplecov,4500,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4200,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,4100,https://github.com/PyCQA/pylint
pmd,pmd,3900,https://github.com/pmd/pmd
phpro,grumphp,3800,https://github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,3400,https://github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,2800,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2700,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2000,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,1900,https://github.com/uber/piranha
ehmicky,cross-platform-node-guide,1300,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1200,https://github.com/Tencent/feflow
Tencent,CodeAnalysis,1200,https://github.com/Tencent/CodeAnalysis
urish,typewiz,1100,https://github.com/urish/typewiz
jakzal,phpqa,1000,https://github.com/jakzal/phpqa
imgbot,Imgbot,929,https://github.com/imgbot/Imgbot
sourcery-ai,sourcery,890,https://github.com/sourcery-ai/sourcery
joshuaclayton,unused,870,https://github.com/joshuaclayton/unused
SonarSource,SonarJS,832,https://github.com/SonarSource/SonarJS
pdepend,pdepend,807,https://github.com/pdepend/pdepend
