username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,148000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,45700,https://github.com/junegunn/fzf
sharkdp,bat,35800,https://github.com/sharkdp/bat
sherlock-project,sherlock,34100,https://github.com/sherlock-project/sherlock
google,zx,33300,https://github.com/google/zx
wagoodman,dive,32800,https://github.com/wagoodman/dive
BurntSushi,ripgrep,32100,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29800,https://github.com/chubin/cheat.sh
cli,cli,29200,https://github.com/cli/cli
jesseduffield,lazygit,28500,https://github.com/jesseduffield/lazygit
spf13,cobra,27600,https://github.com/spf13/cobra
angular,angular-cli,25500,https://github.com/angular/angular-cli
alebcay,awesome-shell,24100,https://github.com/alebcay/awesome-shell
sharkdp,fd,23800,https://github.com/sharkdp/fd
n8n-io,n8n,23400,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,23200,https://github.com/ibraheemdev/modern-unix
google,python-fire,22700,https://github.com/google/python-fire
httpie,httpie,22600,https://github.com/httpie/httpie
tqdm,tqdm,22500,https://github.com/tqdm/tqdm
vercel,pkg,21600,https://github.com/vercel/pkg
avajs,ava,19900,https://github.com/avajs/ava
withfig,autocomplete,19300,https://github.com/withfig/autocomplete
vadimdemedes,ink,18800,https://github.com/vadimdemedes/ink
chalk,chalk,18800,https://github.com/chalk/chalk
urfave,cli,18700,https://github.com/urfave/cli
svg,svgo,18000,https://github.com/svg/svgo
gpakosz,.tmux,17000,https://github.com/gpakosz/.tmux
asdf-vm,asdf,15000,https://github.com/asdf-vm/asdf
allinurl,goaccess,14900,https://github.com/allinurl/goaccess
antonmedv,fx,14900,https://github.com/antonmedv/fx
