username,repo_name,stars,repo_url
vercel,next.js,89800,https://github.com/vercel/next.js
rust-lang,rust,69000,https://github.com/rust-lang/rust
webpack,webpack,61400,https://github.com/webpack/webpack
sveltejs,svelte,60800,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,53300,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42100,https://github.com/JetBrains/kotlin
babel,babel,41100,https://github.com/babel/babel
parcel-bundler,parcel,41000,https://github.com/parcel-bundler/parcel
evanw,esbuild,32500,https://github.com/evanw/esbuild
vlang,v,29900,https://github.com/vlang/v
markedjs,marked,27900,https://github.com/markedjs/marked
swc-project,swc,23000,https://github.com/swc-project/swc
vercel,pkg,21600,https://github.com/vercel/pkg
v8,v8,19900,https://github.com/v8/v8
ziglang,zig,16000,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14300,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13300,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13100,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,11700,https://github.com/RustPython/RustPython
gopherjs,gopherjs,11200,https://github.com/gopherjs/gopherjs
compiler-explorer,compiler-explorer,11200,https://github.com/compiler-explorer/compiler-explorer
apache,tvm,8300,https://github.com/apache/tvm
numba,numba,7700,https://github.com/numba/numba
Nuitka,Nuitka,7100,https://github.com/Nuitka/Nuitka
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
elm,compiler,6900,https://github.com/elm/compiler
aalhour,awesome-compilers,6900,https://github.com/aalhour/awesome-compilers
DoctorWkt,acwj,6600,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5800,https://github.com/rescript-lang/rescript-compiler
BuilderIO,mitosis,5600,https://github.com/BuilderIO/mitosis
