username,repo_name,stars,repo_url
bitcoin,bitcoin,65400,https://github.com/bitcoin/bitcoin
ccxt,ccxt,25200,https://github.com/ccxt/ccxt
freqtrade,freqtrade,18600,https://github.com/freqtrade/freqtrade
OpenBB-finance,OpenBBTerminal,13000,https://github.com/OpenBB-finance/OpenBBTerminal
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
monero-project,monero,7100,https://github.com/monero-project/monero
xmrig,xmrig,7100,https://github.com/xmrig/xmrig
dvf,blockchain,7000,https://github.com/dvf/blockchain
lightningnetwork,lnd,6200,https://github.com/lightningnetwork/lnd
tendermint,tendermint,5000,https://github.com/tendermint/tendermint
StockSharp,StockSharp,5000,https://github.com/StockSharp/StockSharp
mimblewimble,grin,4900,https://github.com/mimblewimble/grin
sammchardy,python-binance,4700,https://github.com/sammchardy/python-binance
hummingbot,hummingbot,4500,https://github.com/hummingbot/hummingbot
cosmos,cosmos-sdk,4200,https://github.com/cosmos/cosmos-sdk
litecoin-project,litecoin,4100,https://github.com/litecoin-project/litecoin
jesse-ai,jesse,4000,https://github.com/jesse-ai/jesse
chrisleekr,binance-trading-bot,4000,https://github.com/chrisleekr/binance-trading-bot
coinpride,CryptoList,3800,https://github.com/coinpride/CryptoList
input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3700,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3700,https://github.com/RomelTorres/alpha_vantage
itheima1,BlockChain,3600,https://github.com/itheima1/BlockChain
Zheaoli,awesome-coins,3600,https://github.com/Zheaoli/awesome-coins
status-im,status-mobile,3500,https://github.com/status-im/status-mobile
nanocurrency,nano-node,3400,https://github.com/nanocurrency/nano-node
Jeiwan,blockchain_go,3500,https://github.com/Jeiwan/blockchain_go
cointop-sh,cointop,3300,https://github.com/cointop-sh/cointop
ctubio,Krypto-trading-bot,2800,https://github.com/ctubio/Krypto-trading-bot
