username,repo_name,stars,repo_url
crystal-lang,crystal,17600,https://github.com/crystal-lang/crystal
kemalcr,kemal,3300,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3000,https://github.com/veelenga/awesome-crystal
amberframework,amber,2400,https://github.com/amberframework/amber
luckyframework,lucky,2300,https://github.com/luckyframework/lucky
getmango,Mango,1100,https://github.com/getmango/Mango
ffwff,lilith,1100,https://github.com/ffwff/lilith
drujensen,fib,784,https://github.com/drujensen/fib
amethyst-framework,amethyst,644,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,521,https://github.com/askn/crystal-by-example
crystal-community,icr,483,https://github.com/crystal-community/icr
will,crystal-pg,423,https://github.com/will/crystal-pg
crystal-ameba,ameba,419,https://github.com/crystal-ameba/ameba
vim-crystal,vim-crystal,374,https://github.com/vim-crystal/vim-crystal
stefanwille,crystal-redis,373,https://github.com/stefanwille/crystal-redis
imdrasil,jennifer.cr,365,https://github.com/imdrasil/jennifer.cr
Crecto,crecto,340,https://github.com/Crecto/crecto
crystal-lang,crystal-book,339,https://github.com/crystal-lang/crystal-book
cooperhammond,irs,330,https://github.com/cooperhammond/irs
crystal-lang-tools,scry,327,https://github.com/crystal-lang-tools/scry
oprypin,crsfml,313,https://github.com/oprypin/crsfml
Hentioe,policr,298,https://github.com/Hentioe/policr
iGenius-Srl,IGColorPicker,268,https://github.com/iGenius-Srl/IGColorPicker
anykeyh,clear,260,https://github.com/anykeyh/clear
samueleaton,sentry,267,https://github.com/samueleaton/sentry
amberframework,granite,260,https://github.com/amberframework/granite
crystal-community,crystal-patterns,262,https://github.com/crystal-community/crystal-patterns
crystal-lang,crystal-db,251,https://github.com/crystal-lang/crystal-db
costajob,app-servers,252,https://github.com/costajob/app-servers
tbrand,router.cr,249,https://github.com/tbrand/router.cr
