username,repo_name,stars,repo_url
d3,d3,102000,https://github.com/d3/d3
apache,echarts,51800,https://github.com/apache/echarts
grafana,grafana,50000,https://github.com/grafana/grafana
apache,superset,47100,https://github.com/apache/superset
pixijs,pixijs,36900,https://github.com/pixijs/pixijs
metabase,metabase,29200,https://github.com/metabase/metabase
streamlit,streamlit,20000,https://github.com/streamlit/streamlit
academic,awesome-datascience,19100,https://github.com/academic/awesome-datascience
plotly,dash,17000,https://github.com/plotly/dash
directus,directus,16900,https://github.com/directus/directus
matplotlib,matplotlib,15800,https://github.com/matplotlib/matplotlib
microsoft,Data-Science-For-Beginners,15500,https://github.com/microsoft/Data-Science-For-Beginners
airbnb,visx,15500,https://github.com/airbnb/visx
plotly,plotly.js,14800,https://github.com/plotly/plotly.js
apexcharts,apexcharts.js,11600,https://github.com/apexcharts/apexcharts.js
antvis,G2,11300,https://github.com/antvis/G2
ml-tooling,best-of-ml-python,11100,https://github.com/ml-tooling/best-of-ml-python
newTendermint,awesome-bigdata,11000,https://github.com/newTendermint/awesome-bigdata
visgl,deck.gl,10000,https://github.com/visgl/deck.gl
FormidableLabs,victory,9700,https://github.com/FormidableLabs/victory
terkelg,awesome-creative-coding,9700,https://github.com/terkelg/awesome-creative-coding
mwaskom,seaborn,9600,https://github.com/mwaskom/seaborn
c3js,c3,9200,https://github.com/c3js/c3
antvis,G6,9000,https://github.com/antvis/G6
keplergl,kepler.gl,8700,https://github.com/keplergl/kepler.gl
uber,react-vis,8300,https://github.com/uber/react-vis
rawgraphs,rawgraphs-app,8200,https://github.com/rawgraphs/rawgraphs-app
gradio-app,gradio,7900,https://github.com/gradio-app/gradio
antvis,F2,7700,https://github.com/antvis/F2
leeoniya,uPlot,7200,https://github.com/leeoniya/uPlot
