username,repo_name,stars,repo_url
tensorflow,tensorflow,166000,https://github.com/tensorflow/tensorflow
huggingface,transformers,67200,https://github.com/huggingface/transformers
opencv,opencv,62700,https://github.com/opencv/opencv
pytorch,pytorch,57400,https://github.com/pytorch/pytorch
keras-team,keras,55700,https://github.com/keras-team/keras
aymericdamien,TensorFlow-Examples,42100,https://github.com/aymericdamien/TensorFlow-Examples
deepfakes,faceswap,41800,https://github.com/deepfakes/faceswap
Avik-Jain,100-Days-Of-ML-Code,38000,https://github.com/Avik-Jain/100-Days-Of-ML-Code
CorentinJ,Real-Time-Voice-Cloning,35700,https://github.com/CorentinJ/Real-Time-Voice-Cloning
iperov,DeepFaceLab,33900,https://github.com/iperov/DeepFaceLab
d2l-ai,d2l-zh,33800,https://github.com/d2l-ai/d2l-zh
BVLC,caffe,32800,https://github.com/BVLC/caffe
floodsung,Deep-Learning-Papers-Reading-Roadmap,32800,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
GokuMohandas,Made-With-ML,30400,https://github.com/GokuMohandas/Made-With-ML
ultralytics,yolov5,29000,https://github.com/ultralytics/yolov5
naptha,tesseract.js,27200,https://github.com/naptha/tesseract.js
ZuzooVn,machine-learning-for-software-engineers,26000,https://github.com/ZuzooVn/machine-learning-for-software-engineers
ageron,handson-ml,24600,https://github.com/ageron/handson-ml
CMU-Perceptual-Computing-Lab,openpose,24600,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yunjey,pytorch-tutorial,24200,https://github.com/yunjey/pytorch-tutorial
terryum,awesome-deep-learning-papers,23800,https://github.com/terryum/awesome-deep-learning-papers
explosion,spaCy,23800,https://github.com/explosion/spaCy
donnemartin,data-science-ipython-notebooks,23300,https://github.com/donnemartin/data-science-ipython-notebooks
babysor,MockingBird,23200,https://github.com/babysor/MockingBird
fastai,fastai,22500,https://github.com/fastai/fastai
ray-project,ray,21300,https://github.com/ray-project/ray
eriklindernoren,ML-From-Scratch,21300,https://github.com/eriklindernoren/ML-From-Scratch
AMAI-GmbH,AI-Expert-Roadmap,21000,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
eugeneyan,applied-ml,20300,https://github.com/eugeneyan/applied-ml
streamlit,streamlit,20000,https://github.com/streamlit/streamlit
