username,repo_name,stars,repo_url
GetStream,vg,1300,https://github.com/GetStream/vg
ehmicky,nve,580,https://github.com/ehmicky/nve
coenjacobs,mozart,343,https://github.com/coenjacobs/mozart
thoth-station,micropipenv,175,https://github.com/thoth-station/micropipenv
netlify,framework-info,109,https://github.com/netlify/framework-info
aaronpeikert,reproducible-research,107,https://github.com/aaronpeikert/reproducible-research
pichillilorenzo,deps-report,83,https://github.com/pichillilorenzo/deps-report
silverwind,updates,76,https://github.com/silverwind/updates
stempler,bnd-platform,76,https://github.com/stempler/bnd-platform
momosecurity,mosec-maven-plugin,77,https://github.com/momosecurity/mosec-maven-plugin
kevcodez,gradle-upgrade-interactive,46,https://github.com/kevcodez/gradle-upgrade-interactive
ewohltman,graphdot,46,https://github.com/ewohltman/graphdot
abdes,asap,47,https://github.com/abdes/asap
depscloud,depscloud,40,https://github.com/depscloud/depscloud
MarcoEidinger,swift-package-dependencies-check,42,https://github.com/MarcoEidinger/swift-package-dependencies-check
bureado,awesome-software-supply-chain-security,33,https://github.com/bureado/awesome-software-supply-chain-security
pilosus,pip-license-checker,30,https://github.com/pilosus/pip-license-checker
fkorotkov,gradle-libraries-plugin,29,https://github.com/fkorotkov/gradle-libraries-plugin
ehmicky,get-bin-path,25,https://github.com/ehmicky/get-bin-path
ecoAPM,dotnet-libyear,25,https://github.com/ecoAPM/dotnet-libyear
ehmicky,nvexeca,24,https://github.com/ehmicky/nvexeca
nikhil-thakkar,multi-module-dependency-setup,26,https://github.com/nikhil-thakkar/multi-module-dependency-setup
Zlagi,Blogfy,32,https://github.com/Zlagi/Blogfy
saadmk11,github-actions-version-updater,22,https://github.com/saadmk11/github-actions-version-updater
momosecurity,mosec-gradle-plugin,21,https://github.com/momosecurity/mosec-gradle-plugin
momosecurity,mosec-pip-plugin,20,https://github.com/momosecurity/mosec-pip-plugin
momosecurity,mosec-composer-plugin,19,https://github.com/momosecurity/mosec-composer-plugin
subelsky,dim,18,https://github.com/subelsky/dim
scalacenter,sbt-eviction-rules,18,https://github.com/scalacenter/sbt-eviction-rules
ehmicky,get-node,17,https://github.com/ehmicky/get-node
