username,repo_name,stars,repo_url
fastlane,fastlane,35600,https://github.com/fastlane/fastlane
ray-project,ray,21300,https://github.com/ray-project/ray
capistrano,capistrano,12200,https://github.com/capistrano/capistrano
deployphp,deployer,9300,https://github.com/deployphp/deployer
caprover,caprover,8800,https://github.com/caprover/caprover
apex,up,8600,https://github.com/apex/up
AppImage,AppImageKit,7300,https://github.com/AppImage/AppImageKit
chef,chef,7000,https://github.com/chef/chef
node-config,node-config,5700,https://github.com/node-config/node-config
shipitjs,shipit,5300,https://github.com/shipitjs/shipit
StackStorm,st2,4900,https://github.com/StackStorm/st2
gaia-pipeline,gaia,4700,https://github.com/gaia-pipeline/gaia
rundeck,rundeck,4600,https://github.com/rundeck/rundeck
mina-deploy,mina,4200,https://github.com/mina-deploy/mina
meefik,linuxdeploy,4100,https://github.com/meefik/linuxdeploy
PaddlePaddle,PaddleX,3800,https://github.com/PaddlePaddle/PaddleX
Triple-T,gradle-play-publisher,3800,https://github.com/Triple-T/gradle-play-publisher
alirezadir,Production-Level-Deep-Learning,3600,https://github.com/alirezadir/Production-Level-Deep-Learning
gitname,react-gh-pages,3600,https://github.com/gitname/react-gh-pages
SeldonIO,seldon-core,3300,https://github.com/SeldonIO/seldon-core
orchest,orchest,3100,https://github.com/orchest/orchest
JamesIves,github-pages-deploy-action,3000,https://github.com/JamesIves/github-pages-deploy-action
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
rocketeers,rocketeer,2700,https://github.com/rocketeers/rocketeer
ml-tooling,opyrator,2700,https://github.com/ml-tooling/opyrator
ifzhang,ByteTrack,2400,https://github.com/ifzhang/ByteTrack
cobbler,cobbler,2300,https://github.com/cobbler/cobbler
devtron-labs,devtron,2300,https://github.com/devtron-labs/devtron
getmeli,meli,2200,https://github.com/getmeli/meli
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
