username,repo_name,stars,repo_url
django,django,65200,https://github.com/django/django
getsentry,sentry,31400,https://github.com/getsentry/sentry
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
encode,django-rest-framework,23800,https://github.com/encode/django-rest-framework
kataras,iris,22600,https://github.com/kataras/iris
jumpserver,jumpserver,18800,https://github.com/jumpserver/jumpserver
saleor,saleor,16500,https://github.com/saleor/saleor
wagtail,wagtail,12400,https://github.com/wagtail/wagtail
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
ansible,awx,11200,https://github.com/ansible/awx
cookiecutter,cookiecutter-django,9500,https://github.com/cookiecutter/cookiecutter-django
django-cms,django-cms,8800,https://github.com/django-cms/django-cms
wsvincent,awesome-django,5700,https://github.com/wsvincent/awesome-django
graphite-project,graphite-web,5500,https://github.com/graphite-project/graphite-web
django-oscar,django-oscar,5400,https://github.com/django-oscar/django-oscar
healthchecks,healthchecks,5300,https://github.com/healthchecks/healthchecks
arachnys,cabot,5300,https://github.com/arachnys/cabot
jonaswinkler,paperless-ng,4900,https://github.com/jonaswinkler/paperless-ng
QingdaoU,OnlineJudge,4900,https://github.com/QingdaoU/OnlineJudge
liangliangyy,DjangoBlog,4700,https://github.com/liangliangyy/DjangoBlog
joerick,pyinstrument,4600,https://github.com/joerick/pyinstrument
LibrePhotos,librephotos,4300,https://github.com/LibrePhotos/librephotos
graphql-python,graphene-django,3900,https://github.com/graphql-python/graphene-django
geex-arts,django-jet,3300,https://github.com/geex-arts/django-jet
TandoorRecipes,recipes,3200,https://github.com/TandoorRecipes/recipes
lepture,authlib,3200,https://github.com/lepture/authlib
jpadilla,django-rest-framework-jwt,3100,https://github.com/jpadilla/django-rest-framework-jwt
vitalik,django-ninja,3100,https://github.com/vitalik/django-ninja
WeblateOrg,weblate,3000,https://github.com/WeblateOrg/weblate
guohongze,adminset,3000,https://github.com/guohongze/adminset
