username,repo_name,stars,repo_url
moby,moby,63600,https://github.com/moby/moby
netdata,netdata,60000,https://github.com/netdata/netdata
macrozheng,mall,59800,https://github.com/macrozheng/mall
traefik,traefik,38900,https://github.com/traefik/traefik
wagoodman,dive,32800,https://github.com/wagoodman/dive
Kong,kong,32500,https://github.com/Kong/kong
mastodon,mastodon,29600,https://github.com/mastodon/mastodon
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
ityouknow,spring-boot-examples,27800,https://github.com/ityouknow/spring-boot-examples
docker,compose,26600,https://github.com/docker/compose
harness,drone,25300,https://github.com/harness/drone
appwrite,appwrite,23700,https://github.com/appwrite/appwrite
n8n-io,n8n,23400,https://github.com/n8n-io/n8n
dokku,dokku,23300,https://github.com/dokku/dokku
sickcodes,Docker-OSX,23300,https://github.com/sickcodes/Docker-OSX
portainer,portainer,22400,https://github.com/portainer/portainer
veggiemonk,awesome-docker,22300,https://github.com/veggiemonk/awesome-docker
openfaas,faas,21800,https://github.com/openfaas/faas
dotnet-architecture,eShopOnContainers,21100,https://github.com/dotnet-architecture/eShopOnContainers
wsargent,docker-cheat-sheet,21000,https://github.com/wsargent/docker-cheat-sheet
yeasy,docker_practice,20800,https://github.com/yeasy/docker_practice
jhipster,generator-jhipster,19700,https://github.com/jhipster/generator-jhipster
rancher,rancher,19600,https://github.com/rancher/rancher
louislam,uptime-kuma,19200,https://github.com/louislam/uptime-kuma
goharbor,harbor,17900,https://github.com/goharbor/harbor
dani-garcia,vaultwarden,17300,https://github.com/dani-garcia/vaultwarden
itdevbooks,pdf,16600,https://github.com/itdevbooks/pdf
nginx-proxy,nginx-proxy,16200,https://github.com/nginx-proxy/nginx-proxy
outline,outline,16000,https://github.com/outline/outline
