username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,108000,https://github.com/jlevy/the-art-of-command-line
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
tldr-pages,tldr,39500,https://github.com/tldr-pages/tldr
facebook,docusaurus,35000,https://github.com/facebook/docusaurus
satwikkansal,wtfpython,31300,https://github.com/satwikkansal/wtfpython
chubin,cheat.sh,29800,https://github.com/chubin/cheat.sh
freeCodeCamp,devdocs,29200,https://github.com/freeCodeCamp/devdocs
doczjs,docz,22800,https://github.com/doczjs/docz
docsifyjs,docsify,21200,https://github.com/docsifyjs/docsify
charlax,professional-programming,18500,https://github.com/charlax/professional-programming
shimohq,chinese-programmer-wrong-pronunciation,18200,https://github.com/shimohq/chinese-programmer-wrong-pronunciation
requarks,wiki,18100,https://github.com/requarks/wiki
SimulatedGREG,electron-vue,15000,https://github.com/SimulatedGREG/electron-vue
nhn,tui.editor,14900,https://github.com/nhn/tui.editor
mkdocs,mkdocs,14500,https://github.com/mkdocs/mkdocs
jsdoc,jsdoc,13000,https://github.com/jsdoc/jsdoc
pandao,editor.md,12300,https://github.com/pandao/editor.md
sparanoid,chinese-copywriting-guidelines,11700,https://github.com/sparanoid/chinese-copywriting-guidelines
github,opensource.guide,11000,https://github.com/github/opensource.guide
styleguidist,react-styleguidist,10400,https://github.com/styleguidist/react-styleguidist
squidfunk,mkdocs-material,10400,https://github.com/squidfunk/mkdocs-material
BookStackApp,BookStack,9700,https://github.com/BookStackApp/BookStack
zealdocs,zeal,9700,https://github.com/zealdocs/zeal
cheat,cheat,9700,https://github.com/cheat/cheat
matheusfelipeog,beautiful-docs,7700,https://github.com/matheusfelipeog/beautiful-docs
reactjs,reactjs.org,7700,https://github.com/reactjs/reactjs.org
Kapeli,Dash-iOS,7100,https://github.com/Kapeli/Dash-iOS
nayafia,lemonade-stand,6600,https://github.com/nayafia/lemonade-stand
TypeStrong,typedoc,5900,https://github.com/TypeStrong/typedoc
mdn,content,5900,https://github.com/mdn/content
