username,repo_name,stars,repo_url
airbnb,javascript,125000,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,79300,https://github.com/goldbergyoni/nodebestpractices
standard,standard,27200,https://github.com/standard/standard
eslint,eslint,20900,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,19900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,19200,https://github.com/verekia/js-stack-from-scratch
grab,front-end-guide,14500,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,11900,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,10600,https://github.com/okonet/lint-staged
jsx-eslint,eslint-plugin-react,7900,https://github.com/jsx-eslint/eslint-plugin-react
xojs,xo,6700,https://github.com/xojs/xo
bartonhammond,snowflake,4600,https://github.com/bartonhammond/snowflake
microsoft,rushstack,4300,https://github.com/microsoft/rushstack
import-js,eslint-plugin-import,4200,https://github.com/import-js/eslint-plugin-import
emacs-lsp,lsp-mode,4100,https://github.com/emacs-lsp/lsp-mode
prettier,eslint-config-prettier,3900,https://github.com/prettier/eslint-config-prettier
vuejs,eslint-plugin-vue,3800,https://github.com/vuejs/eslint-plugin-vue
prettier,prettier-eslint,3600,https://github.com/prettier/prettier-eslint
dustinspecker,awesome-eslint,3100,https://github.com/dustinspecker/awesome-eslint
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
jsx-eslint,eslint-plugin-jsx-a11y,2900,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
kunalkapadia,express-mongoose-es6-rest-api,2900,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
amilajack,eslint-plugin-compat,2800,https://github.com/amilajack/eslint-plugin-compat
sindresorhus,eslint-plugin-unicorn,2600,https://github.com/sindresorhus/eslint-plugin-unicorn
nas5w,100-days-of-code-frontend,2500,https://github.com/nas5w/100-days-of-code-frontend
wesbos,eslint-config-wesbos,2400,https://github.com/wesbos/eslint-config-wesbos
AlloyTeam,eslint-config-alloy,2400,https://github.com/AlloyTeam/eslint-config-alloy
standard,eslint-config-standard,2300,https://github.com/standard/eslint-config-standard
ixartz,Next-js-Boilerplate,2200,https://github.com/ixartz/Next-js-Boilerplate
suanmei,callapp-lib,2100,https://github.com/suanmei/callapp-lib
