username,repo_name,stars,repo_url
microsoft,vscode,134000,https://github.com/microsoft/vscode
electron,electron,103000,https://github.com/electron/electron
atom,atom,58300,https://github.com/atom/atom
microsoft,playwright,40200,https://github.com/microsoft/playwright
GitSquared,edex-ui,35700,https://github.com/GitSquared/edex-ui
marktext,marktext,33900,https://github.com/marktext/marktext
agalwood,Motrix,32500,https://github.com/agalwood/Motrix
nativefier,nativefier,30900,https://github.com/nativefier/nativefier
laurent22,joplin,30800,https://github.com/laurent22/joplin
typeorm,typeorm,28800,https://github.com/typeorm/typeorm
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
sindresorhus,awesome-electron,23000,https://github.com/sindresorhus/awesome-electron
quasarframework,quasar,21600,https://github.com/quasarframework/quasar
notable,notable,20000,https://github.com/notable/notable
electron-react-boilerplate,electron-react-boilerplate,19900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
railsware,upterm,19400,https://github.com/railsware/upterm
segmentio,nightmare,19200,https://github.com/segmentio/nightmare
qier222,YesPlayMusic,18400,https://github.com/qier222/YesPlayMusic
typicode,lowdb,17900,https://github.com/typicode/lowdb
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
Molunerfinn,PicGo,17600,https://github.com/Molunerfinn/PicGo
oldj,SwitchHosts,17600,https://github.com/oldj/SwitchHosts
BoostIO,BoostNote-Legacy,17300,https://github.com/BoostIO/BoostNote-Legacy
eclipse-theia,theia,17100,https://github.com/eclipse-theia/theia
responsively-org,responsively-app,16900,https://github.com/responsively-org/responsively-app
zadam,trilium,16700,https://github.com/zadam/trilium
zulip,zulip,16100,https://github.com/zulip/zulip
wulkano,Kap,15400,https://github.com/wulkano/Kap
desktop,desktop,15100,https://github.com/desktop/desktop
SimulatedGREG,electron-vue,15000,https://github.com/SimulatedGREG/electron-vue
