username,repo_name,stars,repo_url
phoenixframework,phoenix,18300,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,15000,https://github.com/asdf-vm/asdf
plausible,analytics,11800,https://github.com/plausible/analytics
benawad,dogehouse,9200,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,8400,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6300,https://github.com/oldratlee/translations
supabase,realtime,5100,https://github.com/supabase/realtime
papercups-io,papercups,4900,https://github.com/papercups-io/papercups
rrrene,credo,4400,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,4000,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,4000,https://github.com/absinthe-graphql/absinthe
rusterlium,rustler,3300,https://github.com/rusterlium/rustler
elixirschool,elixirschool,3300,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3200,https://github.com/ueberauth/guardian
bitwalker,distillery,2900,https://github.com/bitwalker/distillery
dependabot,dependabot-core,2800,https://github.com/dependabot/dependabot-core
livebook-dev,livebook,2800,https://github.com/livebook-dev/livebook
thechangelog,changelog.com,2400,https://github.com/thechangelog/changelog.com
edgurgel,httpoison,2100,https://github.com/edgurgel/httpoison
quantum-elixir,quantum-core,2000,https://github.com/quantum-elixir/quantum-core
build-trust,ockam,1900,https://github.com/build-trust/ockam
devinus,poison,1900,https://github.com/devinus/poison
nerves-project,nerves,1900,https://github.com/nerves-project/nerves
dashbitco,broadway,1900,https://github.com/dashbitco/broadway
elixirkoans,elixir-koans,1900,https://github.com/elixirkoans/elixir-koans
elixir-nx,nx,1800,https://github.com/elixir-nx/nx
blockscout,blockscout,1800,https://github.com/blockscout/blockscout
thoughtbot,bamboo,1800,https://github.com/thoughtbot/bamboo
philss,floki,1700,https://github.com/philss/floki
thoughtbot,ex_machina,1700,https://github.com/thoughtbot/ex_machina
