username,repo_name,stars,repo_url
syl20bnr,spacemacs,22400,https://github.com/syl20bnr/spacemacs
doomemacs,doomemacs,14600,https://github.com/doomemacs/doomemacs
atlas-engineer,nyxt,7700,https://github.com/atlas-engineer/nyxt
emacs-tw,awesome-emacs,7200,https://github.com/emacs-tw/awesome-emacs
mickael-kerjean,filestash,6600,https://github.com/mickael-kerjean/filestash
magit,magit,5700,https://github.com/magit/magit
bbatsov,prelude,4800,https://github.com/bbatsov/prelude
remacs,remacs,4500,https://github.com/remacs/remacs
emacs-lsp,lsp-mode,4100,https://github.com/emacs-lsp/lsp-mode
jwiegley,use-package,4000,https://github.com/jwiegley/use-package
bbatsov,projectile,3600,https://github.com/bbatsov/projectile
clojure-emacs,cider,3300,https://github.com/clojure-emacs/cider
emacs-helm,helm,3200,https://github.com/emacs-helm/helm
emacs-evil,evil,2500,https://github.com/emacs-evil/evil
for-GET,know-your-http-well,2200,https://github.com/for-GET/know-your-http-well
emacs-eaf,emacs-application-framework,2200,https://github.com/emacs-eaf/emacs-application-framework
flycheck,flycheck,2200,https://github.com/flycheck/flycheck
radian-software,straight.el,2200,https://github.com/radian-software/straight.el
emacs-china,Spacemacs-rocks,2000,https://github.com/emacs-china/Spacemacs-rocks
abo-abo,swiper,2000,https://github.com/abo-abo/swiper
200ok-ch,organice,2000,https://github.com/200ok-ch/organice
doomemacs,themes,1800,https://github.com/doomemacs/themes
auto-complete,auto-complete,1700,https://github.com/auto-complete/auto-complete
Alexander-Miller,treemacs,1600,https://github.com/Alexander-Miller/treemacs
rougier,nano-emacs,1600,https://github.com/rougier/nano-emacs
slime,slime,1600,https://github.com/slime/slime
Fuco1,smartparens,1600,https://github.com/Fuco1/smartparens
Kungsgeten,org-brain,1600,https://github.com/Kungsgeten/org-brain
seagle0128,.emacs.d,1600,https://github.com/seagle0128/.emacs.d
huyubing,books-pdf,1500,https://github.com/huyubing/books-pdf
