username,repo_name,stars,repo_url
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
TryGhost,Ghost,40700,https://github.com/TryGhost/Ghost
discourse,discourse,36100,https://github.com/discourse/discourse
emberjs,ember.js,22200,https://github.com/emberjs/ember.js
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
getsentry,sentry-javascript,6400,https://github.com/getsentry/sentry-javascript
szimek,sharedrop,5600,https://github.com/szimek/sharedrop
ember-cli,ember-cli,3300,https://github.com/ember-cli/ember-cli
emberjs,data,3000,https://github.com/emberjs/data
simplabs,ember-simple-auth,1900,https://github.com/simplabs/ember-simple-auth
krakenjs,zoid,1800,https://github.com/krakenjs/zoid
Addepar,ember-table,1700,https://github.com/Addepar/ember-table
FancyGrid,awesome-grid,1300,https://github.com/FancyGrid/awesome-grid
Shopify,storefront-api-examples,988,https://github.com/Shopify/storefront-api-examples
emberjs,ember-inspector,947,https://github.com/emberjs/ember-inspector
miguelcobain,ember-paper,876,https://github.com/miguelcobain/ember-paper
miragejs,ember-cli-mirage,857,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,797,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,758,https://github.com/emberjs/rfcs
emberjs,website,627,https://github.com/emberjs/website
TryGhost,Admin,619,https://github.com/TryGhost/Admin
travis-ci,travis-web,597,https://github.com/travis-ci/travis-web
rancher,ui,544,https://github.com/rancher/ui
cibernox,ember-power-select,528,https://github.com/cibernox/ember-power-select
ember-engines,ember-engines,492,https://github.com/ember-engines/ember-engines
ember-bootstrap,ember-bootstrap,490,https://github.com/ember-bootstrap/ember-bootstrap
adopted-ember-addons,ember-cp-validations,442,https://github.com/adopted-ember-addons/ember-cp-validations
Esri,esri-loader,438,https://github.com/Esri/esri-loader
ember-intl,ember-intl,428,https://github.com/ember-intl/ember-intl
ember-infinity,ember-infinity,374,https://github.com/ember-infinity/ember-infinity
