username,repo_name,stars,repo_url
Textualize,rich,38600,https://github.com/Textualize/rich
marktext,marktext,33900,https://github.com/marktext/marktext
twitter,twemoji,14400,https://github.com/twitter/twemoji
carloscuesta,gitmoji,12200,https://github.com/carloscuesta/gitmoji
ikatyang,emoji-cheat-sheet,7800,https://github.com/ikatyang/emoji-cheat-sheet
tindy2013,subconverter,6400,https://github.com/tindy2013/subconverter
missive,emoji-mart,5600,https://github.com/missive/emoji-mart
github,gemoji,4000,https://github.com/github/gemoji
carloscuesta,gitmoji-cli,3900,https://github.com/carloscuesta/gitmoji-cli
Coding,Coding-iOS,3800,https://github.com/Coding/Coding-iOS
burhanrashid52,PhotoEditor,3300,https://github.com/burhanrashid52/PhotoEditor
twitter,twitter-text,2800,https://github.com/twitter/twitter-text
MariaLetta,free-gophers-pack,2500,https://github.com/MariaLetta/free-gophers-pack
hfg-gmuend,openmoji,2400,https://github.com/hfg-gmuend/openmoji
getActivity,EmojiPackage,2200,https://github.com/getActivity/EmojiPackage
muan,emoji,2100,https://github.com/muan/emoji
muan,mojibar,2000,https://github.com/muan/mojibar
liuchengxu,git-commit-emoji-cn,1800,https://github.com/liuchengxu/git-commit-emoji-cn
carpedm20,emoji,1500,https://github.com/carpedm20/emoji
iconify,iconify,1500,https://github.com/iconify/iconify
muan,emojilib,1500,https://github.com/muan/emojilib
mathiasbynens,emoji-regex,1400,https://github.com/mathiasbynens/emoji-regex
vanniktech,Emoji,1300,https://github.com/vanniktech/Emoji
eosrei,twemoji-color-font,1300,https://github.com/eosrei/twemoji-color-font
lambtron,emojipacks,1300,https://github.com/lambtron/emojipacks
thedevelobear,react-rewards,1300,https://github.com/thedevelobear/react-rewards
ritz078,embed-js,1200,https://github.com/ritz078/embed-js
Jolg42,awesome-typography,1100,https://github.com/Jolg42/awesome-typography
omnidan,node-emoji,1100,https://github.com/omnidan/node-emoji
iuricode,padroes-de-commits,1100,https://github.com/iuricode/padroes-de-commits
