username,repo_name,stars,repo_url
yuzu-emu,yuzu,20900,https://github.com/yuzu-emu/yuzu
copy,v86,15200,https://github.com/copy/v86
OpenEmu,OpenEmu,14000,https://github.com/OpenEmu/OpenEmu
Ryujinx,Ryujinx,12300,https://github.com/Ryujinx/Ryujinx
ish-app,ish,12200,https://github.com/ish-app/ish
ruffle-rs,ruffle,10200,https://github.com/ruffle-rs/ruffle
skyline-emu,skyline,9100,https://github.com/skyline-emu/skyline
dolphin-emu,dolphin,8800,https://github.com/dolphin-emu/dolphin
amitshekhariitbhu,Android-Debug-Database,8000,https://github.com/amitshekhariitbhu/Android-Debug-Database
felixrieseberg,macintosh.js,7800,https://github.com/felixrieseberg/macintosh.js
citra-emu,citra,7500,https://github.com/citra-emu/citra
PCSX2,pcsx2,7000,https://github.com/PCSX2/pcsx2
xenia-project,xenia,5900,https://github.com/xenia-project/xenia
bfirsh,jsnes,5500,https://github.com/bfirsh/jsnes
unicorn-engine,unicorn,5400,https://github.com/unicorn-engine/unicorn
Provenance-Emu,Provenance,4900,https://github.com/Provenance-Emu/Provenance
budtmo,docker-android,4700,https://github.com/budtmo/docker-android
mininet,mininet,4400,https://github.com/mininet/mininet
HFO4,gameboy.live,4400,https://github.com/HFO4/gameboy.live
CalebFenton,simplify,4000,https://github.com/CalebFenton/simplify
amhndu,SimpleNES,3800,https://github.com/amhndu/SimpleNES
stenzek,duckstation,3800,https://github.com/stenzek/duckstation
Baekalfen,PyBoy,3700,https://github.com/Baekalfen/PyBoy
qilingframework,qiling,3600,https://github.com/qilingframework/qiling
cea-sec,miasm,2800,https://github.com/cea-sec/miasm
jcubic,jquery.terminal,2700,https://github.com/jcubic/jquery.terminal
Humpheh,goboy,2500,https://github.com/Humpheh/goboy
JonathanSalwan,Triton,2400,https://github.com/JonathanSalwan/Triton
azerothcore,azerothcore-wotlk,2200,https://github.com/azerothcore/azerothcore-wotlk
zhkl0228,unidbg,2200,https://github.com/zhkl0228/unidbg
