username,repo_name,stars,repo_url
ethereum,go-ethereum,38400,https://github.com/ethereum/go-ethereum
ccxt,ccxt,25200,https://github.com/ccxt/ccxt
OpenZeppelin,openzeppelin-contracts,19000,https://github.com/OpenZeppelin/openzeppelin-contracts
ethereum,solidity,17600,https://github.com/ethereum/solidity
ChainSafe,web3.js,15600,https://github.com/ChainSafe/web3.js
ethereumbook,ethereumbook,15700,https://github.com/ethereumbook/ethereumbook
trufflesuite,truffle,13400,https://github.com/trufflesuite/truffle
smartcontractkit,full-blockchain-solidity-course-py,8500,https://github.com/smartcontractkit/full-blockchain-solidity-course-py
MetaMask,metamask-extension,8300,https://github.com/MetaMask/metamask-extension
scaffold-eth,scaffold-eth,7500,https://github.com/scaffold-eth/scaffold-eth
ethereum,mist,7400,https://github.com/ethereum/mist
openethereum,parity-ethereum,6600,https://github.com/openethereum/parity-ethereum
OffcierCia,DeFi-Developer-Road-Map,6700,https://github.com/OffcierCia/DeFi-Developer-Road-Map
yeasy,blockchain_guide,6200,https://github.com/yeasy/blockchain_guide
ConsenSys,smart-contract-best-practices,5900,https://github.com/ConsenSys/smart-contract-best-practices
capstone-engine,capstone,5700,https://github.com/capstone-engine/capstone
ethers-io,ethers.js,5300,https://github.com/ethers-io/ethers.js
bkrem,awesome-solidity,4900,https://github.com/bkrem/awesome-solidity
trufflesuite,ganache-ui,4300,https://github.com/trufflesuite/ganache-ui
ConsenSys,quorum,4200,https://github.com/ConsenSys/quorum
web3j,web3j,4100,https://github.com/web3j/web3j
CryptoSignal,Crypto-Signal,4100,https://github.com/CryptoSignal/Crypto-Signal
Uniswap,web3-react,4000,https://github.com/Uniswap/web3-react
vyperlang,vyper,4000,https://github.com/vyperlang/vyper
ethereum,aleth,3900,https://github.com/ethereum/aleth
foundry-rs,foundry,3800,https://github.com/foundry-rs/foundry
coinpride,CryptoList,3800,https://github.com/coinpride/CryptoList
NomicFoundation,hardhat,3800,https://github.com/NomicFoundation/hardhat
Scanate,EthList,3700,https://github.com/Scanate/EthList
embarklabs,embark,3600,https://github.com/embarklabs/embark
