username,repo_name,stars,repo_url
supabase,supabase,35800,https://github.com/supabase/supabase
appwrite,appwrite,23700,https://github.com/appwrite/appwrite
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
firebase,functions-samples,11100,https://github.com/firebase/functions-samples
invertase,react-native-firebase,10200,https://github.com/invertase/react-native-firebase
firebase,quickstart-android,8200,https://github.com/firebase/quickstart-android
angular,angularfire,7200,https://github.com/angular/angularfire
firebase,flutterfire,6900,https://github.com/firebase/flutterfire
microg,GmsCore,4900,https://github.com/microg/GmsCore
Th3Wall,Fakeflix,4600,https://github.com/Th3Wall/Fakeflix
firebase,FirebaseUI-Android,4400,https://github.com/firebase/FirebaseUI-Android
kriasoft,react-firebase-starter,4400,https://github.com/kriasoft/react-firebase-starter
firebase,firebase-js-sdk,4100,https://github.com/firebase/firebase-js-sdk
devias-io,material-kit-react,4000,https://github.com/devias-io/material-kit-react
firebase,firebase-ios-sdk,3800,https://github.com/firebase/firebase-ios-sdk
spacecloud-io,space-cloud,3600,https://github.com/spacecloud-io/space-cloud
rowyio,rowy,3300,https://github.com/rowyio/rowy
vuejs,vuefire,3300,https://github.com/vuejs/vuefire
FirebaseExtended,reactfire,3100,https://github.com/FirebaseExtended/reactfire
alyssaxuu,mapus,2800,https://github.com/alyssaxuu/mapus
CSFrequency,react-firebase-hooks,2700,https://github.com/CSFrequency/react-firebase-hooks
ThreeDotsLabs,wild-workouts-go-ddd-example,2600,https://github.com/ThreeDotsLabs/wild-workouts-go-ddd-example
prescottprue,react-redux-firebase,2500,https://github.com/prescottprue/react-redux-firebase
Canner,cannercms,2400,https://github.com/Canner/cannercms
firebase,quickstart-ios,2500,https://github.com/firebase/quickstart-ios
unicodeveloper,awesome-opensource-apps,2400,https://github.com/unicodeveloper/awesome-opensource-apps
insin,react-hn,2200,https://github.com/insin/react-hn
tylermcginnis,re-base,2200,https://github.com/tylermcginnis/re-base
labring,laf,2100,https://github.com/labring/laf
TarikHuber,react-most-wanted,2200,https://github.com/TarikHuber/react-most-wanted
