username,repo_name,stars,repo_url
pallets,flask,59900,https://github.com/pallets/flask
apache,superset,47100,https://github.com/apache/superset
plotly,dash,17000,https://github.com/plotly/dash
jhao104,proxy_pool,15700,https://github.com/jhao104/proxy_pool
Miserlou,Zappa,11900,https://github.com/Miserlou/Zappa
humiaozuzu,awesome-flask,10700,https://github.com/humiaozuzu/awesome-flask
miguelgrinberg,flasky,7800,https://github.com/miguelgrinberg/flasky
jofpin,trape,7100,https://github.com/jofpin/trape
dvf,blockchain,7000,https://github.com/dvf/blockchain
pyeve,eve,6500,https://github.com/pyeve/eve
benbusby,whoogle-search,5900,https://github.com/benbusby/whoogle-search
joeyespo,grip,5700,https://github.com/joeyespo/grip
OpenEthan,SMSBoom,5500,https://github.com/OpenEthan/SMSBoom
miguelgrinberg,Flask-SocketIO,4700,https://github.com/miguelgrinberg/Flask-SocketIO
schenkd,nginx-ui,4200,https://github.com/schenkd/nginx-ui
cookiecutter-flask,cookiecutter-flask,4100,https://github.com/cookiecutter-flask/cookiecutter-flask
CTFd,CTFd,4100,https://github.com/CTFd/CTFd
miguelgrinberg,microblog,4000,https://github.com/miguelgrinberg/microblog
dpgaspar,Flask-AppBuilder,3800,https://github.com/dpgaspar/Flask-AppBuilder
Python3WebSpider,ProxyPool,3800,https://github.com/Python3WebSpider/ProxyPool
pallets-eco,flask-sqlalchemy,3800,https://github.com/pallets-eco/flask-sqlalchemy
taoufik07,responder,3600,https://github.com/taoufik07/responder
man-group,dtale,3500,https://github.com/man-group/dtale
ahkarami,Deep-Learning-in-Production,3300,https://github.com/ahkarami/Deep-Learning-in-Production
gaojiuli,toapi,3300,https://github.com/gaojiuli/toapi
christabor,flask_jsondash,3200,https://github.com/christabor/flask_jsondash
lepture,authlib,3200,https://github.com/lepture/authlib
the0demiurge,ShadowSocksShare,3100,https://github.com/the0demiurge/ShadowSocksShare
flasgger,flasgger,3000,https://github.com/flasgger/flasgger
nyaadevs,nyaa,3000,https://github.com/nyaadevs/nyaa
