username,repo_name,stars,repo_url
FortAwesome,Font-Awesome,69700,https://github.com/FortAwesome/Font-Awesome
tonsky,FiraCode,65000,https://github.com/tonsky/FiraCode
ryanoasis,nerd-fonts,36800,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,17300,https://github.com/you-dont-need/You-Dont-Need-JavaScript
source-foundry,Hack,15000,https://github.com/source-foundry/Hack
be5invis,Iosevka,14300,https://github.com/be5invis/Iosevka
rsms,inter,14000,https://github.com/rsms/inter
gztchan,awesome-design,13800,https://github.com/gztchan/awesome-design
faressoft,terminalizer,12800,https://github.com/faressoft/terminalizer
adobe-fonts,source-han-sans,11200,https://github.com/adobe-fonts/source-han-sans
neutraltone,awesome-stock-resources,10600,https://github.com/neutraltone/awesome-stock-resources
cdnjs,cdnjs,9600,https://github.com/cdnjs/cdnjs
dompdf,dompdf,9000,https://github.com/dompdf/dompdf
IBM,plex,7900,https://github.com/IBM/plex
JetBrains,JetBrainsMono,7800,https://github.com/JetBrains/JetBrainsMono
snowie2000,mactype,7400,https://github.com/snowie2000/mactype
be5invis,Sarasa-Gothic,7400,https://github.com/be5invis/Sarasa-Gothic
lxgw,LxgwWenKai,7200,https://github.com/lxgw/LxgwWenKai
ubuwaits,beautiful-web-type,7100,https://github.com/ubuwaits/beautiful-web-type
adobe-fonts,source-han-serif,6500,https://github.com/adobe-fonts/source-han-serif
belluzj,fantasque-sans,6100,https://github.com/belluzj/fantasque-sans
chrissimpkins,codeface,5800,https://github.com/chrissimpkins/codeface
devicons,devicon,5700,https://github.com/devicons/devicon
i-tu,Hasklig,5300,https://github.com/i-tu/Hasklig
ecomfe,fontmin,4700,https://github.com/ecomfe/fontmin
uswds,public-sans,4200,https://github.com/uswds/public-sans
opentypejs,opentype.js,3600,https://github.com/opentypejs/opentype.js
olikraus,u8g2,3200,https://github.com/olikraus/u8g2
alfredxing,brick,2900,https://github.com/alfredxing/brick
kiliman,operator-mono-lig,2900,https://github.com/kiliman/operator-mono-lig
