username,repo_name,stars,repo_url
vuejs,vue,198000,https://github.com/vuejs/vue
laravel,laravel,70300,https://github.com/laravel/laravel
django,django,65200,https://github.com/django/django
spring-projects,spring-boot,62300,https://github.com/spring-projects/spring-boot
gin-gonic,gin,61200,https://github.com/gin-gonic/gin
rails,rails,51100,https://github.com/rails/rails
nestjs,nest,48800,https://github.com/nestjs/nest
spring-projects,spring-framework,48500,https://github.com/spring-projects/spring-framework
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
tiangolo,fastapi,47400,https://github.com/tiangolo/fastapi
scrapy,scrapy,44000,https://github.com/scrapy/scrapy
meteor,meteor,42900,https://github.com/meteor/meteor
nuxt,nuxt.js,41000,https://github.com/nuxt/nuxt.js
Dogfalo,materialize,38700,https://github.com/Dogfalo/materialize
laravel,framework,27400,https://github.com/laravel/framework
symfony,symfony,27100,https://github.com/symfony/symfony
postcss,postcss,26500,https://github.com/postcss/postcss
ianstormtaylor,slate,24800,https://github.com/ianstormtaylor/slate
akveo,ngx-admin,23800,https://github.com/akveo/ngx-admin
mdbootstrap,mdb-ui-kit,22500,https://github.com/mdbootstrap/mdb-ui-kit
vapor,vapor,21900,https://github.com/vapor/vapor
gofiber,fiber,21000,https://github.com/gofiber/fiber
libgdx,libgdx,20200,https://github.com/libgdx/libgdx
zeromicro,go-zero,19300,https://github.com/zeromicro/go-zero
python-telegram-bot,python-telegram-bot,19200,https://github.com/python-telegram-bot/python-telegram-bot
jorgebucaran,hyperapp,18800,https://github.com/jorgebucaran/hyperapp
go-kratos,kratos,18400,https://github.com/go-kratos/kratos
google,mediapipe,18000,https://github.com/google/mediapipe
eggjs,egg,18000,https://github.com/eggjs/egg
SergioBenitez,Rocket,17900,https://github.com/SergioBenitez/Rocket
