username,repo_name,stars,repo_url
godotengine,godot,51000,https://github.com/godotengine/godot
leereilly,games,19700,https://github.com/leereilly/games
BabylonJS,Babylon.js,17900,https://github.com/BabylonJS/Babylon.js
bevyengine,bevy,17200,https://github.com/bevyengine/bevy
cocos2d,cocos2d-x,16300,https://github.com/cocos2d/cocos2d-x
aframevr,aframe,14400,https://github.com/aframevr/aframe
liabru,matter-js,13500,https://github.com/liabru/matter-js
OpenRA,OpenRA,11600,https://github.com/OpenRA/OpenRA
SFTtech,openage,11100,https://github.com/SFTtech/openage
OpenDiablo2,OpenDiablo2,10200,https://github.com/OpenDiablo2/OpenDiablo2
kitao,pyxel,10200,https://github.com/kitao/pyxel
raysan5,raylib,10100,https://github.com/raysan5/raylib
ellisonleao,magictools,10000,https://github.com/ellisonleao/magictools
boardgameio,boardgame.io,9200,https://github.com/boardgameio/boardgame.io
MonoGame,MonoGame,8600,https://github.com/MonoGame/MonoGame
amethyst,amethyst,7800,https://github.com/amethyst/amethyst
playcanvas,engine,7500,https://github.com/playcanvas/engine
minetest,minetest,7300,https://github.com/minetest/minetest
skypjack,entt,7000,https://github.com/skypjack/entt
hajimehoshi,ebiten,6800,https://github.com/hajimehoshi/ebiten
flame-engine,flame,6700,https://github.com/flame-engine/flame
egametang,ET,6000,https://github.com/egametang/ET
sschmid,Entitas-CSharp,5700,https://github.com/sschmid/Entitas-CSharp
o3de,o3de,5000,https://github.com/o3de/o3de
mosra,magnum,4100,https://github.com/mosra/magnum
melonjs,melonJS,4100,https://github.com/melonjs/melonJS
urho3d,Urho3D,4100,https://github.com/urho3d/Urho3D
4ian,GDevelop,4000,https://github.com/4ian/GDevelop
faiface,pixel,4000,https://github.com/faiface/pixel
stride3d,stride,3900,https://github.com/stride3d/stride
