username,repo_name,stars,repo_url
github,gitignore,136000,https://github.com/github/gitignore
gogs,gogs,40500,https://github.com/gogs/gogs
tiimgreen,github-cheat-sheet,35900,https://github.com/tiimgreen/github-cheat-sheet
sharkdp,bat,35800,https://github.com/sharkdp/bat
go-gitea,gitea,31100,https://github.com/go-gitea/gitea
cli,cli,29200,https://github.com/cli/cli
jesseduffield,lazygit,28500,https://github.com/jesseduffield/lazygit
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
typicode,husky,27100,https://github.com/typicode/husky
github,hub,21900,https://github.com/github/hub
git-tips,tips,20300,https://github.com/git-tips/tips
requarks,wiki,18100,https://github.com/requarks/wiki
so-fancy,diff-so-fancy,15700,https://github.com/so-fancy/diff-so-fancy
tj,git-extras,15700,https://github.com/tj/git-extras
netlify,netlify-cms,15500,https://github.com/netlify/netlify-cms
logseq,logseq,15300,https://github.com/logseq/logseq
desktop,desktop,15100,https://github.com/desktop/desktop
dandavison,delta,14500,https://github.com/dandavison/delta
geeeeeeeeek,git-recipes,14200,https://github.com/geeeeeeeeek/git-recipes
521xueweihan,git-tips,14100,https://github.com/521xueweihan/git-tips
commitizen,cz-cli,13800,https://github.com/commitizen/cz-cli
pomber,git-history,12800,https://github.com/pomber/git-history
aalansehaiyang,technology-talk,12600,https://github.com/aalansehaiyang/technology-talk
dolthub,dolt,12500,https://github.com/dolthub/dolt
phacility,phabricator,12300,https://github.com/phacility/phabricator
conventional-changelog,commitlint,11600,https://github.com/conventional-changelog/commitlint
meolu,walle-web,11500,https://github.com/meolu/walle-web
sindresorhus,pure,11500,https://github.com/sindresorhus/pure
jonas,tig,11000,https://github.com/jonas/tig
okonet,lint-staged,10600,https://github.com/okonet/lint-staged
