username,repo_name,stars,repo_url
github,hub,21900,https://github.com/github/hub
tipsy,profile-summary-for-github,19600,https://github.com/tipsy/profile-summary-for-github
google,go-github,8700,https://github.com/google/go-github
devhubapp,devhub,8300,https://github.com/devhubapp/devhub
rzashakeri,beautify-github-profile,8000,https://github.com/rzashakeri/beautify-github-profile
lowlighter,metrics,7700,https://github.com/lowlighter/metrics
donnemartin,gitsome,7300,https://github.com/donnemartin/gitsome
github-changelog-generator,github-changelog-generator,6800,https://github.com/github-changelog-generator/github-changelog-generator
michenriksen,gitrob,5400,https://github.com/michenriksen/gitrob
PyGithub,PyGithub,5400,https://github.com/PyGithub/PyGithub
manosim,gitify,3800,https://github.com/manosim/gitify
octokit,octokit.rb,3600,https://github.com/octokit/octokit.rb
nslogx,Gitter,3500,https://github.com/nslogx/Gitter
eth0izzle,shhgit,3500,https://github.com/eth0izzle/shhgit
async-labs,builderbook,3200,https://github.com/async-labs/builderbook
jonan,ForkHub,2700,https://github.com/jonan/ForkHub
actions,github-script,2500,https://github.com/actions/github-script
leonhartX,gas-github,2400,https://github.com/leonhartX/gas-github
AntBranch,awesome-github,2000,https://github.com/AntBranch/awesome-github
KnpLabs,php-github-api,2000,https://github.com/KnpLabs/php-github-api
QasimWani,LeetHub,2100,https://github.com/QasimWani/LeetHub
KwaiAppTeam,SwiftPamphletApp,1800,https://github.com/KwaiAppTeam/SwiftPamphletApp
coderyi,Monkey,1800,https://github.com/coderyi/Monkey
debugger22,github-audio,1700,https://github.com/debugger22/github-audio
jstrieb,github-stats,1700,https://github.com/jstrieb/github-stats
jaywcjlove,github-rank,1700,https://github.com/jaywcjlove/github-rank
the-road-to-graphql,react-graphql-github-apollo,1600,https://github.com/the-road-to-graphql/react-graphql-github-apollo
GitHub-Laziji,VBlog,1500,https://github.com/GitHub-Laziji/VBlog
XPoet,picx,1300,https://github.com/XPoet/picx
MinhasKamal,DownGit,1200,https://github.com/MinhasKamal/DownGit
