username,repo_name,stars,repo_url
golang,go,102000,https://github.com/golang/go
kubernetes,kubernetes,90300,https://github.com/kubernetes/kubernetes
avelino,awesome-go,84200,https://github.com/avelino/awesome-go
moby,moby,63600,https://github.com/moby/moby
gin-gonic,gin,61200,https://github.com/gin-gonic/gin
gohugoio,hugo,60300,https://github.com/gohugoio/hugo
fatedier,frp,58200,https://github.com/fatedier/frp
grafana,grafana,50000,https://github.com/grafana/grafana
junegunn,fzf,45700,https://github.com/junegunn/fzf
syncthing,syncthing,45700,https://github.com/syncthing/syncthing
caddyserver,caddy,41700,https://github.com/caddyserver/caddy
etcd-io,etcd,40600,https://github.com/etcd-io/etcd
gogs,gogs,40500,https://github.com/gogs/gogs
traefik,traefik,38900,https://github.com/traefik/traefik
ethereum,go-ethereum,38400,https://github.com/ethereum/go-ethereum
minio,minio,34200,https://github.com/minio/minio
rclone,rclone,33800,https://github.com/rclone/rclone
golang-standards,project-layout,33200,https://github.com/golang-standards/project-layout
pingcap,tidb,31900,https://github.com/pingcap/tidb
go-gitea,gitea,31100,https://github.com/go-gitea/gitea
unknwon,the-way-to-go_ZH_CN,30200,https://github.com/unknwon/the-way-to-go_ZH_CN
youngyangyang04,leetcode-master,29600,https://github.com/youngyangyang04/leetcode-master
go-gorm,gorm,29000,https://github.com/go-gorm/gorm
beego,beego,28500,https://github.com/beego/beego
spf13,cobra,27600,https://github.com/spf13/cobra
docker,compose,26600,https://github.com/docker/compose
halfrost,LeetCode-Go,26000,https://github.com/halfrost/LeetCode-Go
harness,drone,25300,https://github.com/harness/drone
cockroachdb,cockroach,25100,https://github.com/cockroachdb/cockroach
hashicorp,vault,24500,https://github.com/hashicorp/vault
