username,repo_name,stars,repo_url
google-research,bert,31700,https://github.com/google-research/bert
kelthuzadx,hosts,16600,https://github.com/kelthuzadx/hosts
google,yapf,12700,https://github.com/google/yapf
mxrch,GHunt,11700,https://github.com/mxrch/GHunt
firebase,functions-samples,11100,https://github.com/firebase/functions-samples
googleapis,google-api-nodejs-client,10000,https://github.com/googleapis/google-api-nodejs-client
google,dopamine,9800,https://github.com/google/dopamine
infracost,infracost,7400,https://github.com/infracost/infracost
tensorlayer,TensorLayer,7000,https://github.com/tensorlayer/TensorLayer
firebase,flutterfire,6900,https://github.com/firebase/flutterfire
selierlin,Share-SSR-V2ray,6700,https://github.com/selierlin/Share-SSR-V2ray
tycrek,degoogle,6200,https://github.com/tycrek/degoogle
jarun,googler,5800,https://github.com/jarun/googler
google-map-react,google-map-react,5800,https://github.com/google-map-react/google-map-react
Tapadoo,Alerter,5300,https://github.com/Tapadoo/Alerter
microg,GmsCore,4900,https://github.com/microg/GmsCore
google,closure-library,4500,https://github.com/google/closure-library
lennylxx,ipv6-hosts,4400,https://github.com/lennylxx/ipv6-hosts
google,gts,4000,https://github.com/google/gts
zdhxiong,mdui,3500,https://github.com/zdhxiong/mdui
justjavac,Google-IPs,3400,https://github.com/justjavac/Google-IPs
txthinking,google-hosts,3300,https://github.com/txthinking/google-hosts
hybridauth,hybridauth,3200,https://github.com/hybridauth/hybridauth
google,google-ctf,3000,https://github.com/google/google-ctf
openthread,openthread,2800,https://github.com/openthread/openthread
GAM-team,GAM,2800,https://github.com/GAM-team/GAM
fontsource,fontsource,2700,https://github.com/fontsource/fontsource
spatie,laravel-analytics,2700,https://github.com/spatie/laravel-analytics
justjavac,ReplaceGoogleCDN,2700,https://github.com/justjavac/ReplaceGoogleCDN
googlemaps,google-maps-services-js,2500,https://github.com/googlemaps/google-maps-services-js
