username,repo_name,stars,repo_url
gradle,gradle,13600,https://github.com/gradle/gradle
GoogleContainerTools,jib,12000,https://github.com/GoogleContainerTools/jib
inferjay,AndroidDevTools,7400,https://github.com/inferjay/AndroidDevTools
Meituan-Dianping,walle,6400,https://github.com/Meituan-Dianping/walle
igorwojda,android-showcase,5500,https://github.com/igorwojda/android-showcase
hibernate,hibernate-orm,5000,https://github.com/hibernate/hibernate-orm
mcxiaoke,packer-ng-plugin,4800,https://github.com/mcxiaoke/packer-ng-plugin
cabaletta,baritone,4700,https://github.com/cabaletta/baritone
nisrulz,android-tips-tricks,4600,https://github.com/nisrulz/android-tips-tricks
Meituan-Dianping,Robust,4200,https://github.com/Meituan-Dianping/Robust
cesarferreira,dryrun,3800,https://github.com/cesarferreira/dryrun
gradle,kotlin-dsl-samples,3600,https://github.com/gradle/kotlin-dsl-samples
Kotlin,kotlin-examples,3100,https://github.com/Kotlin/kotlin-examples
KeepSafe,dexcount-gradle-plugin,3000,https://github.com/KeepSafe/dexcount-gradle-plugin
diffplug,spotless,2700,https://github.com/diffplug/spotless
EngineHub,WorldEdit,2500,https://github.com/EngineHub/WorldEdit
Qihoo360,ArgusAPM,2500,https://github.com/Qihoo360/ArgusAPM
Tencent,VasDolly,2600,https://github.com/Tencent/VasDolly
bytedance,ByteX,2600,https://github.com/bytedance/ByteX
jitpack,jitpack.io,2300,https://github.com/jitpack/jitpack.io
mancj,MaterialSearchBar,2000,https://github.com/mancj/MaterialSearchBar
AnyChart,AnyChart-Android,1900,https://github.com/AnyChart/AnyChart-Android
julian-klode,dns66,1800,https://github.com/julian-klode/dns66
sanluan,PublicCMS,1800,https://github.com/sanluan/PublicCMS
jeanboydev,Android-ReadTheFuckingSourceCode,1800,https://github.com/jeanboydev/Android-ReadTheFuckingSourceCode
REBOOTERS,AndroidAnimationExercise,1600,https://github.com/REBOOTERS/AndroidAnimationExercise
uber,okbuck,1500,https://github.com/uber/okbuck
javiersantos,PiracyChecker,1500,https://github.com/javiersantos/PiracyChecker
typ0520,fastdex,1500,https://github.com/typ0520/fastdex
tonyofrancis,Fetch,1400,https://github.com/tonyofrancis/Fetch
