username,repo_name,stars,repo_url
gatsbyjs,gatsby,53300,https://github.com/gatsbyjs/gatsby
strapi,strapi,46400,https://github.com/strapi/strapi
hoppscotch,hoppscotch,45100,https://github.com/hoppscotch/hoppscotch
prettier,prettier,43400,https://github.com/prettier/prettier
supabase,supabase,35800,https://github.com/supabase/supabase
TanStack,query,28600,https://github.com/TanStack/query
hasura,graphql-engine,27500,https://github.com/hasura/graphql-engine
Kong,insomnia,21700,https://github.com/Kong/insomnia
kriasoft,react-starter-kit,21300,https://github.com/kriasoft/react-starter-kit
marmelab,react-admin,20100,https://github.com/marmelab/react-admin
parse-community,parse-server,19600,https://github.com/parse-community/parse-server
graphql,graphql-js,18900,https://github.com/graphql/graphql-js
dgraph-io,dgraph,18200,https://github.com/dgraph-io/dgraph
apollographql,apollo-client,17900,https://github.com/apollographql/apollo-client
pubkey,rxdb,17700,https://github.com/pubkey/rxdb
directus,directus,16900,https://github.com/directus/directus
prisma,prisma1,16800,https://github.com/prisma/prisma1
saleor,saleor,16500,https://github.com/saleor/saleor
redwoodjs,redwood,14300,https://github.com/redwoodjs/redwood
graphql,graphiql,13800,https://github.com/graphql/graphiql
chentsulin,awesome-graphql,13500,https://github.com/chentsulin/awesome-graphql
apollographql,apollo-server,12800,https://github.com/apollographql/apollo-server
spree,spree,11900,https://github.com/spree/spree
reactioncommerce,reaction,11800,https://github.com/reactioncommerce/reaction
graphql,dataloader,11600,https://github.com/graphql/dataloader
graphile,postgraphile,11400,https://github.com/graphile/postgraphile
withspectrum,spectrum,10600,https://github.com/withspectrum/spectrum
dotansimha,graphql-code-generator,9000,https://github.com/dotansimha/graphql-code-generator
graphql-go,graphql,8700,https://github.com/graphql-go/graphql
apex,up,8600,https://github.com/apex/up
