username,repo_name,stars,repo_url
miniMAC,magic,7700,https://github.com/miniMAC/magic
vigetlabs,blendid,5000,https://github.com/vigetlabs/blendid
nieweidong,fetool,4400,https://github.com/nieweidong/fetool
assemble,assemble,4100,https://github.com/assemble/assemble
yeoman,generator-webapp,3800,https://github.com/yeoman/generator-webapp
Tencent,WeFlow,3200,https://github.com/Tencent/WeFlow
EmailThis,extension-boilerplate,3000,https://github.com/EmailThis/extension-boilerplate
MicrosoftDX,Vorlonjs,2900,https://github.com/MicrosoftDX/Vorlonjs
nas5w,100-days-of-code-frontend,2500,https://github.com/nas5w/100-days-of-code-frontend
Tencent,tmt-workflow,2200,https://github.com/Tencent/tmt-workflow
egoist,maid,2000,https://github.com/egoist/maid
summerblue,phphub5,2000,https://github.com/summerblue/phphub5
PatrickJS,NG6-starter,1900,https://github.com/PatrickJS/NG6-starter
ykob,sketch-threejs,1700,https://github.com/ykob/sketch-threejs
nicejade,Front-end-tutorial,1700,https://github.com/nicejade/Front-end-tutorial
luangjokaj,wordpressify,1500,https://github.com/luangjokaj/wordpressify
flatlogic,angular-material-dashboard,1300,https://github.com/flatlogic/angular-material-dashboard
b00giZm,docker-compose-nodejs-examples,980,https://github.com/b00giZm/docker-compose-nodejs-examples
FountainJS,generator-fountain-webapp,972,https://github.com/FountainJS/generator-fountain-webapp
Platform-CUF,use-gulp,861,https://github.com/Platform-CUF/use-gulp
cferdinandi,gulp-boilerplate,851,https://github.com/cferdinandi/gulp-boilerplate
nicejade,nice-front-end-tutorial,858,https://github.com/nicejade/nice-front-end-tutorial
tars,tars,800,https://github.com/tars/tars
logeshpaul,Frontend-Cheat-Sheets,794,https://github.com/logeshpaul/Frontend-Cheat-Sheets
minamarkham,sassy-starter,757,https://github.com/minamarkham/sassy-starter
jonschlinkert,gulp-htmlmin,732,https://github.com/jonschlinkert/gulp-htmlmin
ericmdantas,generator-ng-fullstack,701,https://github.com/ericmdantas/generator-ng-fullstack
themesberg,neumorphism-ui-bootstrap,721,https://github.com/themesberg/neumorphism-ui-bootstrap
xsynaptic,wordpress-gulp-starter-kit,675,https://github.com/xsynaptic/wordpress-gulp-starter-kit
aermin,vue-chat,677,https://github.com/aermin/vue-chat
