username,repo_name,stars,repo_url
psf,requests,47900,https://github.com/psf/requests
hoppscotch,hoppscotch,45100,https://github.com/hoppscotch/hoppscotch
caddyserver,caddy,41700,https://github.com/caddyserver/caddy
ngosang,trackerslist,34800,https://github.com/ngosang/trackerslist
mitmproxy,mitmproxy,28200,https://github.com/mitmproxy/mitmproxy
aria2,aria2,26900,https://github.com/aria2/aria2
curl,curl,25800,https://github.com/curl/curl
dromara,hutool,23400,https://github.com/dromara/hutool
httpie,httpie,22600,https://github.com/httpie/httpie
ehang-io,nps,22100,https://github.com/ehang-io/nps
vapor,vapor,21900,https://github.com/vapor/vapor
tsenart,vegeta,19900,https://github.com/tsenart/vegeta
locustio,locust,19300,https://github.com/locustio/locust
go-kratos,kratos,18400,https://github.com/go-kratos/kratos
gorilla,mux,17000,https://github.com/gorilla/mux
julienschmidt,httprouter,14300,https://github.com/julienschmidt/httprouter
uNetworking,uWebSockets,14000,https://github.com/uNetworking/uWebSockets
hapijs,hapi,13900,https://github.com/hapijs/hapi
trimstray,nginx-admins-handbook,12800,https://github.com/trimstray/nginx-admins-handbook
aio-libs,aiohttp,12600,https://github.com/aio-libs/aiohttp
psf,requests-html,12600,https://github.com/psf/requests-html
snail007,goproxy,12400,https://github.com/snail007/goproxy
http-party,http-server,11900,https://github.com/http-party/http-server
go-chi,chi,11800,https://github.com/go-chi/chi
sindresorhus,got,11700,https://github.com/sindresorhus/got
nock,nock,11600,https://github.com/nock/nock
graphile,postgraphile,11400,https://github.com/graphile/postgraphile
postmanlabs,httpbin,11000,https://github.com/postmanlabs/httpbin
jeasonlzy,okhttp-OkGo,10400,https://github.com/jeasonlzy/okhttp-OkGo
asciimoo,wuzz,10000,https://github.com/asciimoo/wuzz
