username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,350000,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,242000,https://github.com/EbookFoundation/free-programming-books
ohmyzsh,ohmyzsh,148000,https://github.com/ohmyzsh/ohmyzsh
TheAlgorithms,Python,140000,https://github.com/TheAlgorithms/Python
axios,axios,94700,https://github.com/axios/axios
avelino,awesome-go,84200,https://github.com/avelino/awesome-go
mui,material-ui,79900,https://github.com/mui/material-ui
iluwatar,java-design-patterns,75900,https://github.com/iluwatar/java-design-patterns
huggingface,transformers,67200,https://github.com/huggingface/transformers
gohugoio,hugo,60300,https://github.com/gohugoio/hugo
chartjs,Chart.js,57500,https://github.com/chartjs/Chart.js
florinpop17,app-ideas,55700,https://github.com/florinpop17/app-ideas
microsoft,Web-Dev-For-Beginners,55300,https://github.com/microsoft/Web-Dev-For-Beginners
ansible,ansible,53900,https://github.com/ansible/ansible
chrislgarry,Apollo-11,53200,https://github.com/chrislgarry/Apollo-11
leonardomso,33-js-concepts,50100,https://github.com/leonardomso/33-js-concepts
grafana,grafana,50000,https://github.com/grafana/grafana
sdmg15,Best-websites-a-programmer-should-visit,47200,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
TheAlgorithms,Java,46900,https://github.com/TheAlgorithms/Java
tauri-apps,tauri,47100,https://github.com/tauri-apps/tauri
strapi,strapi,46400,https://github.com/strapi/strapi
tesseract-ocr,tesseract,46000,https://github.com/tesseract-ocr/tesseract
scrapy,scrapy,44000,https://github.com/scrapy/scrapy
anuraghazra,github-readme-stats,43700,https://github.com/anuraghazra/github-readme-stats
prometheus,prometheus,43400,https://github.com/prometheus/prometheus
git,git,42900,https://github.com/git/git
DefinitelyTyped,DefinitelyTyped,40000,https://github.com/DefinitelyTyped/DefinitelyTyped
tldr-pages,tldr,39500,https://github.com/tldr-pages/tldr
swisskyrepo,PayloadsAllTheThings,39200,https://github.com/swisskyrepo/PayloadsAllTheThings
x64dbg,x64dbg,38700,https://github.com/x64dbg/x64dbg
