username,repo_name,stars,repo_url
koalaman,shellcheck,29300,https://github.com/koalaman/shellcheck
hasura,graphql-engine,27500,https://github.com/hasura/graphql-engine
jgm,pandoc,26000,https://github.com/jgm/pandoc
PostgREST,postgrest,19000,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,11200,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,9600,https://github.com/hmemcpy/milewski-ctfp-pdf
lk-geimfari,awesomo,8400,https://github.com/lk-geimfari/awesomo
purescript,purescript,7800,https://github.com/purescript/purescript
hadolint,hadolint,7200,https://github.com/hadolint/hadolint
liuxinyu95,AlgoXY,5300,https://github.com/liuxinyu95/AlgoXY
unisonweb,unison,4500,https://github.com/unisonweb/unison
input-output-hk,cardano-sl,3800,https://github.com/input-output-hk/cardano-sl
digitallyinduced,ihp,3400,https://github.com/digitallyinduced/ihp
xmonad,xmonad,2600,https://github.com/xmonad/xmonad
typelead,eta,2500,https://github.com/typelead/eta
wireapp,wire-server,2500,https://github.com/wireapp/wire-server
haskell,haskell-ide-engine,2400,https://github.com/haskell/haskell-ide-engine
IHaskell,IHaskell,2400,https://github.com/IHaskell/IHaskell
sdiehl,wiwinwlh,2400,https://github.com/sdiehl/wiwinwlh
koka-lang,koka,2200,https://github.com/koka-lang/koka
BayesWitnesses,m2cgen,2100,https://github.com/BayesWitnesses/m2cgen
haskell,haskell-language-server,2100,https://github.com/haskell/haskell-language-server
simonmichael,hledger,2100,https://github.com/simonmichael/hledger
dmjio,miso,2000,https://github.com/dmjio/miso
tweag,asterius,1900,https://github.com/tweag/asterius
wasp-lang,wasp,1800,https://github.com/wasp-lang/wasp
jaspervdj,patat,1800,https://github.com/jaspervdj/patat
kaxap,arl,1700,https://github.com/kaxap/arl
haskell-servant,servant,1600,https://github.com/haskell-servant/servant
tidalcycles,Tidal,1600,https://github.com/tidalcycles/Tidal
