username,repo_name,stars,repo_url
Homebrew,brew,32800,https://github.com/Homebrew/brew
github,hub,21900,https://github.com/github/hub
Homebrew,homebrew-cask,19300,https://github.com/Homebrew/homebrew-cask
Homebrew,homebrew-core,11500,https://github.com/Homebrew/homebrew-core
goreleaser,goreleaser,10300,https://github.com/goreleaser/goreleaser
Caldis,Mos,9200,https://github.com/Caldis/Mos
mas-cli,mas,9100,https://github.com/mas-cli/mas
diasurgical,devilutionX,5900,https://github.com/diasurgical/devilutionX
geerlingguy,mac-dev-playbook,4700,https://github.com/geerlingguy/mac-dev-playbook
Homebrew,homebrew-bundle,4200,https://github.com/Homebrew/homebrew-bundle
paulirish,dotfiles,4000,https://github.com/paulirish/dotfiles
mock-server,mockserver,3800,https://github.com/mock-server/mockserver
LumaTeam,Luma3DS,3600,https://github.com/LumaTeam/Luma3DS
whalebrew,whalebrew,3500,https://github.com/whalebrew/whalebrew
cointop-sh,cointop,3300,https://github.com/cointop-sh/cointop
Linuxbrew,brew,2600,https://github.com/Linuxbrew/brew
nicknisi,dotfiles,2400,https://github.com/nicknisi/dotfiles
Homebrew,homebrew-cask-fonts,2300,https://github.com/Homebrew/homebrew-cask-fonts
XorTroll,Goldleaf,2200,https://github.com/XorTroll/Goldleaf
AtlasNX,Kosmos,2100,https://github.com/AtlasNX/Kosmos
nicoverbruggen,phpmon,2000,https://github.com/nicoverbruggen/phpmon
MikeMcQuaid,strap,1900,https://github.com/MikeMcQuaid/strap
AdoptOpenJDK,homebrew-openjdk,1800,https://github.com/AdoptOpenJDK/homebrew-openjdk
Homebrew,homebrew-services,1700,https://github.com/Homebrew/homebrew-services
minamarkham,formation,1700,https://github.com/minamarkham/formation
mac-cleanup,mac-cleanup-sh,1700,https://github.com/mac-cleanup/mac-cleanup-sh
driesvints,dotfiles,1600,https://github.com/driesvints/dotfiles
bitwarden,cli,1600,https://github.com/bitwarden/cli
Homebrew,install,1500,https://github.com/Homebrew/install
d12frosted,homebrew-emacs-plus,1500,https://github.com/d12frosted/homebrew-emacs-plus
