username,repo_name,stars,repo_url
homebridge,homebridge,20400,https://github.com/homebridge/homebridge
oznu,homebridge-config-ui-x,2200,https://github.com/oznu/homebridge-config-ui-x
oznu,docker-homebridge,2100,https://github.com/oznu/docker-homebridge
YinHangCode,homebridge-mi-aqara,1100,https://github.com/YinHangCode/homebridge-mi-aqara
Sunoo,homebridge-camera-ffmpeg,949,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,830,https://github.com/homebridge/homebridge-raspbian-image
hjdhjd,homebridge-unifi-protect,814,https://github.com/hjdhjd/homebridge-unifi-protect
dgreif,ring,767,https://github.com/dgreif/ring
lprhodes,homebridge-broadlink-rm,547,https://github.com/lprhodes/homebridge-broadlink-rm
merdok,homebridge-webos-tv,541,https://github.com/merdok/homebridge-webos-tv
tavicu,homebridge-samsung-tizen,515,https://github.com/tavicu/homebridge-samsung-tizen
sieren,Homepoint,522,https://github.com/sieren/Homepoint
hoobs-org,HOOBS,485,https://github.com/hoobs-org/HOOBS
oznu,homebridge-syno-spk,460,https://github.com/oznu/homebridge-syno-spk
seydx,homebridge-camera-ui,387,https://github.com/seydx/homebridge-camera-ui
plasticrake,homebridge-tplink-smarthome,378,https://github.com/plasticrake/homebridge-tplink-smarthome
tonesto7,homebridge-smartthings,367,https://github.com/tonesto7/homebridge-smartthings
hjdhjd,homebridge-myq,358,https://github.com/hjdhjd/homebridge-myq
taligentx,dscKeybusInterface,359,https://github.com/taligentx/dscKeybusInterface
homebridge,verified,311,https://github.com/homebridge/verified
bwp91,homebridge-ewelink,306,https://github.com/bwp91/homebridge-ewelink
oznu,homebridge-gsh,321,https://github.com/oznu/homebridge-gsh
seydx,homebridge-bravia-tvos,275,https://github.com/seydx/homebridge-bravia-tvos
LASER-Yi,homebridge-mi-acpartner,263,https://github.com/LASER-Yi/homebridge-mi-acpartner
naofireblade,homebridge-weather-plus,252,https://github.com/naofireblade/homebridge-weather-plus
ParadoxAlarmInterface,pai,243,https://github.com/ParadoxAlarmInterface/pai
hannseman,homebridge-mi-hygrothermograph,232,https://github.com/hannseman/homebridge-mi-hygrothermograph
alexryd,homebridge-shelly,231,https://github.com/alexryd/homebridge-shelly
nxhack,openwrt-node-packages,213,https://github.com/nxhack/openwrt-node-packages
AlexGustafsson,homebridge-wol,201,https://github.com/AlexGustafsson/homebridge-wol
