username,repo_name,stars,repo_url
ipfs,ipfs,20900,https://github.com/ipfs/ipfs
ipfs,kubo,13900,https://github.com/ipfs/kubo
orbitdb,orbit-db,7100,https://github.com/orbitdb/orbit-db
ipfs,js-ipfs,6900,https://github.com/ipfs/js-ipfs
berty,berty,5800,https://github.com/berty/berty
ipfs,ipfs-desktop,4400,https://github.com/ipfs/ipfs-desktop
ipfs,awesome-ipfs,3700,https://github.com/ipfs/awesome-ipfs
embarklabs,embark,3600,https://github.com/embarklabs/embark
smartcontractkit,full-blockchain-solidity-course-js,3600,https://github.com/smartcontractkit/full-blockchain-solidity-course-js
hoochanlon,fq-book,2500,https://github.com/hoochanlon/fq-book
TeamPiped,Piped,2400,https://github.com/TeamPiped/Piped
yjjnls,awesome-blockchain,2400,https://github.com/yjjnls/awesome-blockchain
graphprotocol,graph-node,2000,https://github.com/graphprotocol/graph-node
libp2p,js-libp2p,1800,https://github.com/libp2p/js-libp2p
ipfs,ipfs-companion,1700,https://github.com/ipfs/ipfs-companion
orbitdb,orbit,1600,https://github.com/orbitdb/orbit
Peergos,Peergos,1500,https://github.com/Peergos/Peergos
redacademy,vue-ethereum-ipfs,1300,https://github.com/redacademy/vue-ethereum-ipfs
ipfs,ipfs-webui,1300,https://github.com/ipfs/ipfs-webui
DimensionDev,Maskbook,1200,https://github.com/DimensionDev/Maskbook
ipfs-cluster,ipfs-cluster,1200,https://github.com/ipfs-cluster/ipfs-cluster
rs-ipfs,rust-ipfs,1100,https://github.com/rs-ipfs/rust-ipfs
ipfspics,ipfspics-server,1100,https://github.com/ipfspics/ipfspics-server
qri-io,qri,1100,https://github.com/qri-io/qri
OpenBazaar,openbazaar-go,980,https://github.com/OpenBazaar/openbazaar-go
ipfs-shipyard,ipfs-deploy,1000,https://github.com/ipfs-shipyard/ipfs-deploy
IceFireDB,IceFireDB,890,https://github.com/IceFireDB/IceFireDB
dennis-tra,pcp,874,https://github.com/dennis-tra/pcp
FileNation,FileNation,846,https://github.com/FileNation/FileNation
dtube,dtube,726,https://github.com/dtube/dtube
