username,repo_name,stars,repo_url
ryanoasis,nerd-fonts,36800,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,10600,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8300,https://github.com/akveo/eva-icons
mikepenz,Android-Iconics,5000,https://github.com/mikepenz/Android-Iconics
ecomfe,fontmin,4700,https://github.com/ecomfe/fontmin
Remix-Design,RemixIcon,4600,https://github.com/Remix-Design/RemixIcon
refscn,rplibs,2700,https://github.com/refscn/rplibs
keremciu,sketch-iconfont,2000,https://github.com/keremciu/sketch-iconfont
atisawd,boxicons,1900,https://github.com/atisawd/boxicons
coreui,coreui-icons,1900,https://github.com/coreui/coreui-icons
home-assistant,Iconic,1600,https://github.com/home-assistant/Iconic
phosphor-icons,phosphor-home,1600,https://github.com/phosphor-icons/phosphor-home
dongjunkun,GanK,1200,https://github.com/dongjunkun/GanK
ForkAwesome,Fork-Awesome,1100,https://github.com/ForkAwesome/Fork-Awesome
brabadu,awesome-fonts,977,https://github.com/brabadu/awesome-fonts
leungwensen,svg-icon,962,https://github.com/leungwensen/svg-icon
vkarampinis,awesome-icons,967,https://github.com/vkarampinis/awesome-icons
pfefferle,openwebicons,844,https://github.com/pfefferle/openwebicons
juliettef,IconFontCppHeaders,726,https://github.com/juliettef/IconFontCppHeaders
jpswalsh,academicons,652,https://github.com/jpswalsh/academicons
kenangundogan,fontisto,473,https://github.com/kenangundogan/fontisto
thomaspark,glyphsearch,464,https://github.com/thomaspark/glyphsearch
victor-valencia,bootstrap-iconpicker,356,https://github.com/victor-valencia/bootstrap-iconpicker
lvwzhen,iconpark,356,https://github.com/lvwzhen/iconpark
andrewgioia,keyrune,337,https://github.com/andrewgioia/keyrune
lukas-w,font-logos,323,https://github.com/lukas-w/font-logos
PrestaShop,prestashop-icon-font,315,https://github.com/PrestaShop/prestashop-icon-font
ccforward,rubik,279,https://github.com/ccforward/rubik
jaywcjlove,svgtofont,288,https://github.com/jaywcjlove/svgtofont
phosphor-icons,phosphor-react,440,https://github.com/phosphor-icons/phosphor-react
