username,repo_name,stars,repo_url
tiangolo,fastapi,47400,https://github.com/tiangolo/fastapi
prettier,prettier,43400,https://github.com/prettier/prettier
chinese-poetry,chinese-poetry,36700,https://github.com/chinese-poetry/chinese-poetry
nlohmann,json,31000,https://github.com/nlohmann/json
SheetJS,sheetjs,30700,https://github.com/SheetJS/sheetjs
alibaba,fastjson,24800,https://github.com/alibaba/fastjson
dromara,hutool,23400,https://github.com/dromara/hutool
httpie,httpie,22600,https://github.com/httpie/httpie
SwiftyJSON,SwiftyJSON,21400,https://github.com/SwiftyJSON/SwiftyJSON
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
codex-team,editor.js,19600,https://github.com/codex-team/editor.js
urfave,cli,18700,https://github.com/urfave/cli
typicode,lowdb,17900,https://github.com/typicode/lowdb
simdjson,simdjson,15800,https://github.com/simdjson/simdjson
antonmedv,fx,14900,https://github.com/antonmedv/fx
modood,Administrative-divisions-of-China,13300,https://github.com/modood/Administrative-divisions-of-China
rjsf-team,react-jsonschema-form,11600,https://github.com/rjsf-team/react-jsonschema-form
baidu,amis,11400,https://github.com/baidu/amis
Mantle,Mantle,11300,https://github.com/Mantle/Mantle
json-iterator,go,11100,https://github.com/json-iterator/go
postmanlabs,httpbin,11000,https://github.com/postmanlabs/httpbin
tidwall,gjson,10600,https://github.com/tidwall/gjson
pinojs,pino,9700,https://github.com/pinojs/pino
pwxcoo,chinese-xinhua,9500,https://github.com/pwxcoo/chinese-xinhua
JamesNK,Newtonsoft.Json,9400,https://github.com/JamesNK/Newtonsoft.Json
tiangolo,full-stack-fastapi-postgresql,9400,https://github.com/tiangolo/full-stack-fastapi-postgresql
httpie,http-prompt,8500,https://github.com/httpie/http-prompt
astrit,css.gg,8600,https://github.com/astrit/css.gg
CoderMJLee,MJExtension,8500,https://github.com/CoderMJLee/MJExtension
jwtk,jjwt,8500,https://github.com/jwtk/jjwt
