username,repo_name,stars,repo_url
CyC2018,CS-Notes,154000,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,125000,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,75900,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,64400,https://github.com/doocs/advanced-java
spring-projects,spring-boot,62300,https://github.com/spring-projects/spring-boot
elastic,elasticsearch,60400,https://github.com/elastic/elasticsearch
macrozheng,mall,59800,https://github.com/macrozheng/mall
kdn251,interviews,57700,https://github.com/kdn251/interviews
azl397985856,leetcode,48700,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,46900,https://github.com/TheAlgorithms/Java
ReactiveX,RxJava,46300,https://github.com/ReactiveX/RxJava
google,guava,45200,https://github.com/google/guava
square,okhttp,42500,https://github.com/square/okhttp
square,retrofit,40200,https://github.com/square/retrofit
PhilJay,MPAndroidChart,35300,https://github.com/PhilJay/MPAndroidChart
apache,spark,33400,https://github.com/apache/spark
AobingJava,JavaFamily,31300,https://github.com/AobingJava/JavaFamily
skylot,jadx,30900,https://github.com/skylot/jadx
jeecgboot,jeecg-boot,30200,https://github.com/jeecgboot/jeecg-boot
zxing,zxing,29800,https://github.com/zxing/zxing
alibaba,arthas,29600,https://github.com/alibaba/arthas
youngyangyang04,leetcode-master,29600,https://github.com/youngyangyang04/leetcode-master
ityouknow,spring-boot-examples,27800,https://github.com/ityouknow/spring-boot-examples
square,leakcanary,27700,https://github.com/square/leakcanary
dbeaver,dbeaver,27400,https://github.com/dbeaver/dbeaver
crossoverJie,JCSprout,26700,https://github.com/crossoverJie/JCSprout
xkcoding,spring-boot-demo,26200,https://github.com/xkcoding/spring-boot-demo
Wechat-Group,WxJava,25800,https://github.com/Wechat-Group/WxJava
alibaba,fastjson,24800,https://github.com/alibaba/fastjson
alibaba,easyexcel,24400,https://github.com/alibaba/easyexcel
