username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,350000,https://github.com/freeCodeCamp/freeCodeCamp
vuejs,vue,198000,https://github.com/vuejs/vue
facebook,react,192000,https://github.com/facebook/react
twbs,bootstrap,159000,https://github.com/twbs/bootstrap
getify,You-Dont-Know-JS,156000,https://github.com/getify/You-Dont-Know-JS
trekhleb,javascript-algorithms,146000,https://github.com/trekhleb/javascript-algorithms
airbnb,javascript,125000,https://github.com/airbnb/javascript
electron,electron,103000,https://github.com/electron/electron
30-seconds,30-seconds-of-code,100000,https://github.com/30-seconds/30-seconds-of-code
axios,axios,94700,https://github.com/axios/axios
justjavac,free-programming-books-zh_CN,94400,https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,88900,https://github.com/nodejs/node
denoland,deno,84100,https://github.com/denoland/deno
mrdoob,three.js,83700,https://github.com/mrdoob/three.js
angular,angular,82800,https://github.com/angular/angular
microsoft,TypeScript,82500,https://github.com/microsoft/TypeScript
mui,material-ui,79900,https://github.com/mui/material-ui
goldbergyoni,nodebestpractices,79300,https://github.com/goldbergyoni/nodebestpractices
storybookjs,storybook,72900,https://github.com/storybookjs/storybook
practical-tutorials,project-based-learning,72700,https://github.com/practical-tutorials/project-based-learning
ryanmcdermott,clean-code-javascript,69800,https://github.com/ryanmcdermott/clean-code-javascript
webpack,webpack,61400,https://github.com/webpack/webpack
thedaviddias,Front-End-Checklist,60700,https://github.com/thedaviddias/Front-End-Checklist
atom,atom,58300,https://github.com/atom/atom
expressjs,express,57700,https://github.com/expressjs/express
chartjs,Chart.js,57500,https://github.com/chartjs/Chart.js
microsoft,Web-Dev-For-Beginners,55300,https://github.com/microsoft/Web-Dev-For-Beginners
lodash,lodash,53800,https://github.com/lodash/lodash
h5bp,html5-boilerplate,53100,https://github.com/h5bp/html5-boilerplate
ElemeFE,element,52400,https://github.com/ElemeFE/element
