username,repo_name,stars,repo_url
jekyll,jekyll,45000,https://github.com/jekyll/jekyll
tabler,tabler,26300,https://github.com/tabler/tabler
mmistakes,minimal-mistakes,9900,https://github.com/mmistakes/minimal-mistakes
primer,octicons,7400,https://github.com/primer/octicons
mqtt,mqtt.org,4900,https://github.com/mqtt/mqtt.org
just-the-docs,just-the-docs,4600,https://github.com/just-the-docs/just-the-docs
daattali,beautiful-jekyll,4200,https://github.com/daattali/beautiful-jekyll
alshedivat,al-folio,3500,https://github.com/alshedivat/al-folio
poole,hyde,3400,https://github.com/poole/hyde
fastai,fastpages,3300,https://github.com/fastai/fastpages
poole,lanyon,3000,https://github.com/poole/lanyon
home-assistant,home-assistant.io,3000,https://github.com/home-assistant/home-assistant.io
github,choosealicense.com,2900,https://github.com/github/choosealicense.com
poole,poole,2700,https://github.com/poole/poole
jekyll,minima,2600,https://github.com/jekyll/minima
jekyll,jekyll-admin,2600,https://github.com/jekyll/jekyll-admin
kitian616,jekyll-TeXt-theme,2500,https://github.com/kitian616/jekyll-TeXt-theme
sergiokopplin,indigo,2300,https://github.com/sergiokopplin/indigo
eduardoboucas,staticman,2200,https://github.com/eduardoboucas/staticman
TaylanTatli,Moon,2200,https://github.com/TaylanTatli/Moon
sharu725,online-cv,2100,https://github.com/sharu725/online-cv
maxvoltar,photo-stream,1800,https://github.com/maxvoltar/photo-stream
mmistakes,so-simple-theme,1800,https://github.com/mmistakes/so-simple-theme
Gaohaoyang,gaohaoyang.github.io,1700,https://github.com/Gaohaoyang/gaohaoyang.github.io
github,pages-gem,1700,https://github.com/github/pages-gem
jglovier,gifs,1600,https://github.com/jglovier/gifs
dtinth,comic-mono-font,1600,https://github.com/dtinth/comic-mono-font
jglovier,resume-template,1500,https://github.com/jglovier/resume-template
jekyll,jekyll-seo-tag,1400,https://github.com/jekyll/jekyll-seo-tag
sproogen,modern-resume-theme,1400,https://github.com/sproogen/modern-resume-theme
