username,repo_name,stars,repo_url
jakevdp,PythonDataScienceHandbook,35200,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,24600,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,24600,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,19500,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,19000,https://github.com/MLEveryday/100-Days-Of-ML-Code
emilwallner,Screenshot-to-code,13700,https://github.com/emilwallner/Screenshot-to-code
microsoft,recommenders,13600,https://github.com/microsoft/recommenders
plotly,plotly.py,11800,https://github.com/plotly/plotly.py
chenyuntc,pytorch-book,10200,https://github.com/chenyuntc/pytorch-book
jupyter,notebook,9200,https://github.com/jupyter/notebook
ydataai,pandas-profiling,9200,https://github.com/ydataai/pandas-profiling
dunovank,jupyter-themes,9200,https://github.com/dunovank/jupyter-themes
microsoft,computervision-recipes,8600,https://github.com/microsoft/computervision-recipes
marceloprates,prettymaps,8300,https://github.com/marceloprates/prettymaps
AkashSingh3031,The-Complete-FAANG-Preparation,8000,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
aws,amazon-sagemaker-examples,7100,https://github.com/aws/amazon-sagemaker-examples
jupyter,docker-stacks,6800,https://github.com/jupyter/docker-stacks
jupyterhub,jupyterhub,6700,https://github.com/jupyterhub/jupyterhub
firmai,industry-machine-learning,6300,https://github.com/firmai/industry-machine-learning
Atcold,pytorch-Deep-Learning,5900,https://github.com/Atcold/pytorch-Deep-Learning
nteract,nteract,5800,https://github.com/nteract/nteract
mwouts,jupytext,5500,https://github.com/mwouts/jupytext
codebasics,py,5100,https://github.com/codebasics/py
jerry-git,learn-python3,5100,https://github.com/jerry-git/learn-python3
activeloopai,Hub,4700,https://github.com/activeloopai/Hub
BrambleXu,pydata-notebook,4400,https://github.com/BrambleXu/pydata-notebook
tensorflow,lucid,4400,https://github.com/tensorflow/lucid
voila-dashboards,voila,4200,https://github.com/voila-dashboards/voila
IntelLabs,distiller,4000,https://github.com/IntelLabs/distiller
man-group,dtale,3500,https://github.com/man-group/dtale
