username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,94400,https://github.com/justjavac/free-programming-books-zh_CN
square,okhttp,42500,https://github.com/square/okhttp
JetBrains,kotlin,42100,https://github.com/JetBrains/kotlin
square,leakcanary,27700,https://github.com/square/leakcanary
google,iosched,21600,https://github.com/google/iosched
NativeScript,NativeScript,21400,https://github.com/NativeScript/NativeScript
tipsy,profile-summary-for-github,19600,https://github.com/tipsy/profile-summary-for-github
afollestad,material-dialogs,19300,https://github.com/afollestad/material-dialogs
tachiyomiorg,tachiyomi,17800,https://github.com/tachiyomiorg/tachiyomi
Kotlin,anko,15900,https://github.com/Kotlin/anko
Tencent,MMKV,14700,https://github.com/Tencent/MMKV
wasabeef,recyclerview-animators,11100,https://github.com/wasabeef/recyclerview-animators
permissions-dispatcher,PermissionsDispatcher,11000,https://github.com/permissions-dispatcher/PermissionsDispatcher
Kotlin,kotlinx.coroutines,11000,https://github.com/Kotlin/kotlinx.coroutines
gyf-dev,ImmersionBar,10400,https://github.com/gyf-dev/ImmersionBar
ktorio,ktor,10100,https://github.com/ktorio/ktor
KotlinBy,awesome-kotlin,10000,https://github.com/KotlinBy/awesome-kotlin
mamoe,mirai,9800,https://github.com/mamoe/mirai
wasabeef,glide-transformations,9700,https://github.com/wasabeef/glide-transformations
JetBrains,compose-jb,9100,https://github.com/JetBrains/compose-jb
coil-kt,coil,8400,https://github.com/coil-kt/coil
quicktype,quicktype,8300,https://github.com/quicktype/quicktype
square,okio,8000,https://github.com/square/okio
android,android-ktx,7500,https://github.com/android/android-ktx
InsertKoinIO,koin,7500,https://github.com/InsertKoinIO/koin
google,android-classyshark,7100,https://github.com/google/android-classyshark
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
ReactiveX,RxKotlin,6900,https://github.com/ReactiveX/RxKotlin
JetBrains,ideavim,6700,https://github.com/JetBrains/ideavim
sourcerer-io,sourcerer-app,6700,https://github.com/sourcerer-io/sourcerer-app
