username,repo_name,stars,repo_url
kubernetes,kubernetes,90300,https://github.com/kubernetes/kubernetes
netdata,netdata,60000,https://github.com/netdata/netdata
etcd-io,etcd,40600,https://github.com/etcd-io/etcd
traefik,traefik,38900,https://github.com/traefik/traefik
minio,minio,34200,https://github.com/minio/minio
Kong,kong,32500,https://github.com/Kong/kong
istio,istio,30900,https://github.com/istio/istio
LeCoupa,awesome-cheatsheets,29600,https://github.com/LeCoupa/awesome-cheatsheets
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
hashicorp,consul,25100,https://github.com/hashicorp/consul
kubernetes,minikube,24400,https://github.com/kubernetes/minikube
dokku,dokku,23300,https://github.com/dokku/dokku
alibaba,nacos,23200,https://github.com/alibaba/nacos
portainer,portainer,22400,https://github.com/portainer/portainer
helm,helm,22200,https://github.com/helm/helm
openfaas,faas,21800,https://github.com/openfaas/faas
yeasy,docker_practice,20800,https://github.com/yeasy/docker_practice
k3s-io,k3s,20500,https://github.com/k3s-io/k3s
jhipster,generator-jhipster,19700,https://github.com/jhipster/generator-jhipster
rancher,rancher,19600,https://github.com/rancher/rancher
lensapp,lens,18900,https://github.com/lensapp/lens
dapr,dapr,18600,https://github.com/dapr/dapr
goharbor,harbor,17900,https://github.com/goharbor/harbor
derailed,k9s,17100,https://github.com/derailed/k9s
GitHubDaily,GitHubDaily,16000,https://github.com/GitHubDaily/GitHubDaily
MichaelCade,90DaysOfDevOps,15500,https://github.com/MichaelCade/90DaysOfDevOps
helm,charts,15400,https://github.com/helm/charts
eip-work,kuboard-press,15400,https://github.com/eip-work/kuboard-press
jina-ai,jina,15100,https://github.com/jina-ai/jina
chrislusf,seaweedfs,14800,https://github.com/chrislusf/seaweedfs
