username,repo_name,stars,repo_url
marktext,marktext,33900,https://github.com/marktext/marktext
HarisIqbal88,PlotNeuralNet,17100,https://github.com/HarisIqbal88/PlotNeuralNet
posquit0,Awesome-CV,16600,https://github.com/posquit0/Awesome-CV
KaTeX,KaTeX,15600,https://github.com/KaTeX/KaTeX
hmemcpy,milewski-ctfp-pdf,9600,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,8900,https://github.com/mathjax/MathJax
billryan,resume,5800,https://github.com/billryan/resume
Wandmalfarbe,pandoc-latex-template,4400,https://github.com/Wandmalfarbe/pandoc-latex-template
lervag,vimtex,3900,https://github.com/lervag/vimtex
garrettj403,SciencePlots,3700,https://github.com/garrettj403/SciencePlots
tuna,thuthesis,3600,https://github.com/tuna/thuthesis
Wookai,paper-tips-and-tricks,3300,https://github.com/Wookai/paper-tips-and-tricks
luong-komorebi,Begin-Latex-in-minutes,3100,https://github.com/luong-komorebi/Begin-Latex-in-minutes
sb2nov,resume,3100,https://github.com/sb2nov/resume
rstudio,bookdown,3000,https://github.com/rstudio/bookdown
retorquere,zotero-better-bibtex,3000,https://github.com/retorquere/zotero-better-bibtex
google-research,arxiv-latex-cleaner,3100,https://github.com/google-research/arxiv-latex-cleaner
Keldos-Li,typora-latex-theme,2700,https://github.com/Keldos-Li/typora-latex-theme
JabRef,jabref,2700,https://github.com/JabRef/jabref
IceEnd,Yosoro,2700,https://github.com/IceEnd/Yosoro
sjtug,SJTUThesis,2600,https://github.com/sjtug/SJTUThesis
saadq,resumake.io,2500,https://github.com/saadq/resumake.io
noraj,OSCP-Exam-Report-Template-Markdown,2400,https://github.com/noraj/OSCP-Exam-Report-Template-Markdown
vincentdoerig,latex-css,2300,https://github.com/vincentdoerig/latex-css
Hedgehog-Computing,hedgehog-lab,2200,https://github.com/Hedgehog-Computing/hedgehog-lab
dyweb,awesome-resume-for-chinese,2100,https://github.com/dyweb/awesome-resume-for-chinese
susam,texme,2100,https://github.com/susam/texme
varkor,quiver,1900,https://github.com/varkor/quiver
SwiftLaTeX,SwiftLaTeX,1800,https://github.com/SwiftLaTeX/SwiftLaTeX
texworld,tikzplotlib,1900,https://github.com/texworld/tikzplotlib
