username,repo_name,stars,repo_url
laravel,laravel,70300,https://github.com/laravel/laravel
laravel,framework,27400,https://github.com/laravel/framework
monicahq,monica,16800,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,14200,https://github.com/barryvdh/laravel-debugbar
koel,koel,13800,https://github.com/koel/koel
flarum,flarum,13000,https://github.com/flarum/flarum
CachetHQ,Cachet,12800,https://github.com/CachetHQ/Cachet
Intervention,image,12700,https://github.com/Intervention/image
barryvdh,laravel-ide-helper,12400,https://github.com/barryvdh/laravel-ide-helper
roots,sage,11800,https://github.com/roots/sage
chiraggude,awesome-laravel,11100,https://github.com/chiraggude/awesome-laravel
the-control-group,voyager,11100,https://github.com/the-control-group/voyager
SpartnerNL,Laravel-Excel,10900,https://github.com/SpartnerNL/Laravel-Excel
octobercms,october,10800,https://github.com/octobercms/october
tymondesigns,jwt-auth,10600,https://github.com/tymondesigns/jwt-auth
spatie,laravel-permission,10500,https://github.com/spatie/laravel-permission
BookStackApp,BookStack,9700,https://github.com/BookStackApp/BookStack
guyueyingmu,avbook,8400,https://github.com/guyueyingmu/avbook
alexeymezenin,laravel-best-practices,8200,https://github.com/alexeymezenin/laravel-best-practices
laravel,lumen,7600,https://github.com/laravel/lumen
laravel,tinker,7000,https://github.com/laravel/tinker
Laravel-Lang,lang,6700,https://github.com/Laravel-Lang/lang
invoiceninja,invoiceninja,6600,https://github.com/invoiceninja/invoiceninja
crater-invoice,crater,6200,https://github.com/crater-invoice/crater
jenssegers,laravel-mongodb,6100,https://github.com/jenssegers/laravel-mongodb
fruitcake,laravel-cors,6100,https://github.com/fruitcake/laravel-cors
ecrmnn,collect.js,6000,https://github.com/ecrmnn/collect.js
flarum,framework,5700,https://github.com/flarum/framework
aimeos,aimeos-laravel,5600,https://github.com/aimeos/aimeos-laravel
akaunting,akaunting,5400,https://github.com/akaunting/akaunting
