username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,108000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,88900,https://github.com/nodejs/node
trimstray,the-book-of-secret-knowledge,72900,https://github.com/trimstray/the-book-of-secret-knowledge
atom,atom,58300,https://github.com/atom/atom
alacritty,alacritty,40400,https://github.com/alacritty/alacritty
vercel,hyper,38900,https://github.com/vercel/hyper
ventoy,Ventoy,36700,https://github.com/ventoy/Ventoy
FiloSottile,mkcert,36000,https://github.com/FiloSottile/mkcert
GitSquared,edex-ui,35700,https://github.com/GitSquared/edex-ui
PowerShell,PowerShell,34300,https://github.com/PowerShell/PowerShell
sherlock-project,sherlock,34100,https://github.com/sherlock-project/sherlock
marktext,marktext,33900,https://github.com/marktext/marktext
agalwood,Motrix,32500,https://github.com/agalwood/Motrix
nativefier,nativefier,30900,https://github.com/nativefier/nativefier
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
0xAX,linux-insides,26600,https://github.com/0xAX/linux-insides
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
matteocrippa,awesome-swift,22200,https://github.com/matteocrippa/awesome-swift
yeasy,docker_practice,20800,https://github.com/yeasy/docker_practice
libgdx,libgdx,20200,https://github.com/libgdx/libgdx
notable,notable,20000,https://github.com/notable/notable
Z4nzu,hackingtool,19900,https://github.com/Z4nzu/hackingtool
jaywcjlove,linux-command,19300,https://github.com/jaywcjlove/linux-command
qier222,YesPlayMusic,18400,https://github.com/qier222/YesPlayMusic
BoostIO,BoostNote-Legacy,17300,https://github.com/BoostIO/BoostNote-Legacy
Swordfish90,cool-retro-term,17100,https://github.com/Swordfish90/cool-retro-term
itdevbooks,pdf,16600,https://github.com/itdevbooks/pdf
GitHubDaily,GitHubDaily,16000,https://github.com/GitHubDaily/GitHubDaily
kivy,kivy,14800,https://github.com/kivy/kivy
termux,termux-app,14000,https://github.com/termux/termux-app
